Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jake Camarda,52.8,43.7,1181,27,74,1427,13,4,3,3,4,13,186,0,0
Ryan Stonehouse,51.6,41.2,948,23,74,1186,9,5,0,3,2,13,178,0,0
Bryan Anger,51.5,44.7,850,19,57,978,6,0,2,1,5,11,108,0,0
Ryan Wright,50.9,43.4,954,22,63,1120,3,3,2,4,3,10,86,0,0
Michael Dickson,50.2,45.4,863,19,73,953,8,2,4,3,1,9,30,0,0
AJ Cole,50.1,47.4,1044,22,70,1103,13,3,2,1,9,7,39,0,0
Ethan Evans,49.6,41.5,997,24,72,1191,9,3,0,2,6,13,154,0,0
Blake Gillikin,49.4,37.3,448,12,62,593,2,0,1,0,0,11,145,0,0
Corey Bojorquez,49.1,43.2,1382,32,69,1571,11,7,2,2,7,14,149,0,0
Jamie Gillan,48.9,45.3,1495,33,64,1613,11,1,3,1,14,14,98,0,0
Mitch Wishnowsky,48.5,44.2,973,22,67,1067,12,2,4,1,5,10,74,0,0
Tommy Townsend,48.3,44.2,929,21,62,1014,8,1,5,1,7,7,65,0,0
Logan Cooke,48.1,45,1304,29,62,1394,18,5,3,2,10,9,50,0,0
Jordan Stout,48,39.8,1193,31,67,1441,13,3,3,1,9,14,228,1,1
Daniel Whelan,48,38.5,963,25,68,1199,6,0,1,4,10,10,156,1,0
Thomas Morstead,47.9,44.4,1287,29,58,1389,12,3,2,2,12,10,62,0,0
Tress Way,47.8,42.3,1481,35,66,1673,12,0,5,1,10,19,172,0,0
Johnny Hekker,47.5,44.2,1193,27,69,1283,10,1,5,1,10,10,70,0,0
Bradley Pinion,47.4,42.5,1275,30,62,1422,10,6,2,1,10,11,127,0,0
Sam Martin,46.9,39.9,678,17,70,798,6,2,1,1,5,8,100,1,0
Rigoberto Sanchez,46.6,40.7,1221,30,57,1399,9,3,6,0,4,17,178,0,0
Pressley Harvin III,46.5,41.2,990,24,63,1115,10,4,5,2,5,8,85,0,0
Trenton Gill,45.8,37.7,981,26,58,1190,6,3,5,1,3,14,189,0,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jack Fox,45.4,42.2,1097,26,62,1181,13,1,5,1,10,9,64,0,0
Jake Bailey,45.1,41.8,710,17,60,766,3,4,1,1,6,5,36,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Bryce Baringer,44.7,39.9,1395,35,65,1566,18,7,1,1,11,15,151,0,0
Brad Robbins,44.2,39.5,1263,32,62,1416,6,4,1,2,12,13,113,0,0
Riley Dixon,44.2,40.8,1060,26,61,1148,7,2,3,0,8,13,88,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Braden Mann,43.2,39.5,316,8,57,346,4,0,2,0,4,2,30,0,0
Lou Hedley,43.1,39.9,1395,35,62,1508,13,5,4,2,9,15,73,0,0
J.K. Scott,42.9,39.2,1018,26,65,1115,10,2,5,1,12,6,77,0,0
Cameron Johnston,42.8,40.1,441,11,63,471,5,1,3,1,5,1,10,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
