Player,Comb,Asst,Solo,Sck
Ray Lewis,167,36,110,3.5
Derrick Brooks,153,36,86,2
Ronald McKinnon,139,47,60,1
Greg Biekert,136,32,79,2
Wali Rainer,136,29,88,1
Zach Thomas,132,53,70,1
Robert Griffith,128,27,84,4
Stephen Boyd,127,44,64,0
Rob Fredrickson,124,34,53,2
Victor Green,124,32,74,0
Sam Cowart,123,45,59,1
Donnie Edwards,122,25,86,3
Jessie Armstead,120,25,64,9
Ed McDaniel,120,34,65,2
Lawyer Milloy,120,29,64,2
Jeremiah Trotter,120,32,78,2.5
Barry Minter,119,25,74,3
Jamir Miller,117,24,79,4.5
John Lynch,116,36,49,0.5
Chad Brown,115,30,65,5.5
Dwayne Rudd,115,29,74,3
Sam Shade,115,26,77,1.5
Brian Simmons,115,22,74,3
Earl Holmes,114,27,61,0
Kwamie Lassiter,114,35,54,0
Darren Sharper,113,29,71,1
Bernardo Harris,107,40,55,0
Levon Kirkland,107,21,71,2
Hardy Nickerson,107,45,41,0.5
Tedy Bruschi,106,35,50,2
Keith Mitchell,106,28,64,3.5
Ron Rice,106,25,69,1
Takeo Spikes,106,23,60,3
Micheal Barrow,105,25,73,4
Jay Bellamy,105,13,66,0
Marvcus Patton,105,19,72,6.5
Mike Peterson,105,25,56,3
Sammy Knight,104,26,57,0
Tony Parrish,104,13,75,0
Cornelius Bennett,102,33,55,5
Shawn Barber,101,21,67,1
Ken Norton,101,26,67,1
Randall Godfrey,98,15,66,1
Junior Seau,98,24,59,3.5
Kevin Hardy,97,24,62,10.5
Derek M. Smith,97,29,64,1
Jamie Sharper,95,17,63,4
Keith Brooking,94,21,66,2
Anthony Simmons,94,35,37,0
Chris Slade,94,42,32,4.5
Sam Garnes,93,18,55,1
Billy Jenkins,93,21,65,1
Marquez Pope,93,13,69,0
Mike Minter,92,22,65,1
Marvin Jones,91,23,45,1
Eugene Robinson,91,27,50,0
Jessie Tuggle,91,20,51,3.5
London Fletcher,90,24,61,3
Darrin Smith,90,25,49,1
Reggie Tongue,89,12,70,2
Mike Barber,87,28,39,0
Tommy Bennett,87,23,46,0
Chad Cota,87,23,48,0
Mo Lewis,87,30,43,5.5
Dexter Coakley,86,16,58,1
Brock Marion,86,33,50,1
Winfred Tubbs,86,15,56,2
James Hasty,85,13,65,1
Dean Wells,85,25,56,0.5
Brent Alexander,84,12,63,0
Jeff Burris,83,16,60,2
Tim Hauck,83,25,53,0
Robert Jones,83,21,55,0
Jimmy Hitchcock,82,9,67,2
Mike Dumas,81,21,49,2
Ryan McNeil,81,16,59,1
Darryl Williams,81,17,49,0
Rashod Swinger,80,33,25,1
Glenn Cadrez,79,22,51,7
Mark Fields,79,18,43,4
Daylon McCutcheon,79,5,65,1
Eddie Robinson,79,15,49,6
William Thomas,79,24,50,2.5
Troy Vincent,79,19,55,1
Donnie Abraham,78,14,51,2
Champ Bailey,78,6,65,1
Donovin Darius,78,19,55,0
Lee Flowers,78,15,53,5
Andy Katzenmoyer,78,15,44,3.5
Willie Williams,78,6,66,0
Ronde Barber,77,16,45,1
Jerome Woods,77,9,61,0
Jason Belser,76,14,47,1
Ryan Phillips,76,22,41,0
Marcus Robertson,76,28,39,0.5
Shawn Springs,76,10,59,0
Darren Woodson,76,12,63,1
Blaine Bishop,75,19,50,2.5
Eric Brown,75,15,52,1.5
Eric Davis,75,17,53,0
Percy Ellsworth,75,20,50,0
Corey Fuller,75,13,54,0
Henry Jones,75,12,50,0
Jude Waddy,75,20,47,1
Myron Bell,74,19,48,2
Cortez Kennedy,74,13,49,6.5
Willie McGinest,74,26,36,9
George Teague,74,19,52,0
Al Wilson,74,15,43,1
Kenny Wright,74,10,59,0
Mark Carrier,73,14,47,0
Marty Carter,73,15,43,0
Brian Dawkins,73,21,48,1.5
Lonnie Marts,73,9,55,2
Damien Robinson,73,21,37,0.5
Rahim Abdullah,72,13,46,0
Dale Carter,72,18,46,0
Jerry Drake,72,26,21,1
Bill Romanowski,72,18,49,0
Cris Dishman,71,12,54,0
Chris Carter,70,25,37,1
Orlando Thomas,70,19,47,0
Allen Aldridge,69,24,42,3
Fernando Bryant,69,9,55,0
Marcus Coleman,69,12,48,0
Doug Evans,69,10,52,0
Sean Harris,69,15,44,0
Walt Harris,69,9,54,1
Todd Lyght,69,12,49,2.5
Samari Rolle,69,12,51,3
James Darling,68,20,44,0
Tim McDonald,68,18,45,2
Sam Rogers,68,16,42,3
Mike Wells,68,17,42,1
Brian Williams,68,24,38,2
LeRoy Butler,67,18,39,1
Carlos Emmons,67,16,43,6
Warrick Holdman,67,13,44,2
Anthony Newman,67,16,44,0
Phillippi Sparks,67,5,55,0
Lee Woodall,67,14,50,2.5
Tony Brackens,66,13,48,12
Chris Claiborne,66,16,41,1.5
Artrell Hawkins,66,7,55,0
Kim Herring,66,11,43,0
Vonnie Holliday,66,20,41,6
Tom Knight,66,8,50,0
Fred Weary,66,8,47,0
Rod Woodson,66,12,49,0
Marco Coleman,65,13,45,6.5
Dwayne Gordon,65,16,35,1
Richard Harvey,65,19,34,2
Mike A. Jones,65,14,42,1
Mike McKenzie,65,12,48,0
Tyrone Williams,65,12,49,0
Shawn Wooden,65,18,46,0
Eric Allen,64,8,46,0
Aaron Beasley,64,9,53,1.5
Ray Buchanan,63,5,52,1
Ray Crockett,63,3,55,2
Ricardo McDonald,63,14,37,0.5
Lance Schulters,63,9,51,0
Corey Widmer,63,21,32,3
Antoine Winfield,63,2,56,0
John Holecek,62,19,34,1
DeRon Jenkins,62,3,50,1
Henry Thomas,62,20,27,3
Chris Bordano,61,21,21,0
La'Roi Glover,61,15,36,8.5
Chad Hennings,61,13,39,5
Steve Israel,61,8,45,1
Charles Woodson,61,10,43,0
Cedric Jones,60,17,30,7.5
Michael Strahan,60,19,29,5.5
Derrick Thomas,60,7,49,7
Barron Wortham,60,14,39,0.5
Robert Bailey,59,8,50,2
Terry Cousin,59,11,44,0
Travis Davis,59,15,40,0
Leomont Evans,59,13,40,0
Darren Hambrick,58,13,36,2.5
Carnell Lake,58,8,45,3.5
Michael McCrary,58,15,32,11.5
Orpheus Roye,58,17,35,4.5
Ashley Ambrose,57,6,46,0
Jevon Kearse,57,9,45,14.5
Ty Law,57,9,41,0.5
Michael Bankston,56,16,34,6
Tyrone Braxton,56,13,34,1
Jason Gildon,56,14,35,8.5
Darrell Green,56,4,48,0
Rich Owens,56,19,32,8.5
Norman Hand,55,14,38,4
Phil Hansen,55,17,29,6
Chris Hudson,55,11,37,1
Mark McMillian,55,4,49,1.5
Steve Atwater,54,19,26,0
Rob Burnett,54,16,28,6.5
Brad Culpepper,54,22,19,6
Chad Eaton,54,18,20,3
Cory Hall,54,13,25,0
Shelton Quarles,54,16,31,0
Gary Walker,54,8,37,10
Aeneas Williams,54,7,37,0
Derrick L. Alexander,53,16,30,2.5
Chris Doleman,53,11,31,8
Terry Fair,53,7,45,0
Greg Jackson,53,10,31,0
John Parrella,53,9,34,5.5
Keith Hamilton,52,18,20,4
Perry Phenix,52,8,38,0
Anthony Pleasant,52,11,23,2
Pat Tillman,52,12,32,0
Dewayne Washington,52,2,45,0
Tony Blevins,51,9,33,1
Joe Bowden,51,16,30,3.5
Daryl Gardener,51,24,23,5
Aaron Glenn,51,5,40,0
Lance Johnstone,51,7,38,10
Russell Maryland,51,18,23,1.5
Barry Gardner,50,13,32,0
George Koonce,50,21,23,0
Gerald McBurrows,50,13,34,1
Chad Scott,50,1,45,0
Charlie Williams,50,5,42,0
Todd F. Collins,49,11,35,0
Greg Jefferson,49,9,38,4
Jimmy Spencer,49,8,38,0
Chad Bratzke,48,14,25,12
Willie Clay,48,12,27,0
Phillip Daniels,48,8,37,9
Brandon Mitchell,48,25,14,3
Roman Phifer,48,15,23,4.5
Simeon Rice,48,11,27,16.5
Kato Serwanga,48,9,31,1
Dainon Sidney,48,5,40,0
Chuck Smith,48,12,32,10
Hollis Thomas,48,13,34,1
Zack Walz,48,20,18,1
Kailee Wong,48,13,30,0
Junior Bryant,47,10,32,4.5
Jason Fisk,47,13,29,4
Rodney Heath,47,4,43,0
Chris McAlister,47,2,40,0
Robert Porcher,47,14,26,15
Kurt Schulz,47,15,27,0
Thomas Smith,47,5,35,0
Bobby Taylor,47,7,37,0
Darnell Walker,47,3,43,1
Denard Walker,47,8,38,0
Sean Gilbert,46,11,30,2.5
Ellis Johnson,46,12,25,7.5
Greg Jones,46,12,29,0.5
Ramos McDonald,46,1,43,0
Trevor Pryce,46,13,30,13
Tony Williams,46,15,24,5
Vaughn Booker,45,14,27,3.5
Charlie Clemons,45,7,34,3
Luther Elliss,45,16,26,3.5
James Farrior,45,10,26,2
Kevin Greene,45,10,34,12
Travis Hall,45,9,31,4.5
Ken Irvin,45,5,36,0
Calvin Jackson,45,10,35,1
James Jones,45,17,23,7
Rick Lyle,45,18,12,1
Sam Madison,45,8,35,0
Dexter McCleon,45,4,35,1.5
Bruce Smith,45,14,28,7
Jason Taylor,45,16,25,2.5
Eric Turner,45,7,31,0
Ted Washington,45,10,25,2.5
Brentson Buckner,44,15,26,1
Devin Bush,44,7,33,0
Lewis Bush,44,4,36,1
Shane Dronett,44,20,18,6.5
James Logan,44,6,36,0
Ray Mickens,44,8,33,2
Pierson Prioleau,44,9,33,0
Jason Sehorn,44,7,32,0
Dana Stubblefield,44,14,23,3
Patrick Surtain,44,7,30,2
Bryan Cox,43,13,24,0
Jim Flanigan,43,8,32,6
Corey Harris,43,6,32,1
Kerry Joseph,43,7,30,0
Darrell Russell,43,11,25,9.5
Henri Crockett,42,12,22,1.5
Greg Ellis,42,8,27,7.5
Steve Foley,42,3,31,3.5
Darrius Johnson,42,6,28,0
Steve Martin,42,17,25,2
Dat Nguyen,42,7,29,1
Marlo Perry,42,10,31,1.5
Kavika Pittman,42,10,27,3
Bryan Robinson,42,4,29,5
Duane Starks,42,3,38,0
Tom Burke,41,13,17,2.5
Mike Caldwell,41,11,29,1
Oliver Gibson,41,10,28,4.5
Rodney Harrison,41,11,29,1
Brian Kelly,41,5,26,0
Darryll Lewis,41,5,33,0
Wayne Martin,41,6,25,4.5
Chester McGlockton,41,12,25,1.5
Greg Myers,41,5,29,0
Deion Sanders,41,2,36,0
Warren Sapp,41,14,24,12.5
Joel Smeenge,41,14,25,5
Matt Stevens,41,7,32,1
Brant Boyer,40,9,29,4
Ronnie Bradford,40,4,34,0
Larry Chester,40,10,21,1
Mark Maddox,40,10,20,0
Bryant Young,40,4,34,11
Corey Chavous,39,10,26,0
D'Marco Farr,39,7,26,8.5
Raylee Johnson,39,8,27,10.5
Mike Mamula,39,12,27,8.5
Tim Morabito,39,7,29,0
Tyrone Poole,39,5,27,1
Maa Tanuvasa,39,7,29,7
Grant Wistrom,39,7,28,6.5
Sam Adams,38,7,21,1
Gilbert Brown,38,18,16,0
George Coghill,38,8,28,0
Al Harris,38,6,32,0
James Harris,38,10,19,2.5
Eric Hill,38,13,22,0
Ted Johnson,38,13,11,2
Rob Kelly,38,12,22,0
Gabe Northern,38,9,24,3.5
Derrick Rodgers,38,16,18,0
John Thierry,38,6,29,7
Ratcliff Thomas,38,8,23,0
Peter Boulware,37,6,27,10
Cornell Brown,37,7,24,1
John Copeland,37,9,26,4
Gerald Dixon,37,8,21,4
Shawn King,37,9,14,1.5
Charles Mincy,37,6,26,0
John Randle,37,9,23,10
Van Tuinei,37,6,26,2.5
Eric Warfield,37,5,28,0
Taje Allen,36,2,32,0.5
Duane Clemons,36,7,24,9
Antuan Edwards,36,5,27,0
Eric Hicks,36,9,23,4
Darius Holland,36,6,25,2
Kenard Lang,36,3,30,6
Damon Moore,36,6,28,0
Tracy Scroggins,36,9,25,8.5
Michael Sinclair,36,7,23,6
Tony Siragusa,36,2,24,3.5
Deshea Townsend,36,4,29,0
Willie Whitehead,36,7,26,7
Chuck Wiley,36,4,29,0
Lester Archambeau,35,4,26,5.5
Terrell Buckley,35,5,29,1
Santana Dotson,35,18,15,2.5
Tory James,35,2,30,0
Bryant Westbrook,35,3,31,0
K.D. Williams,35,2,25,1
Tim Bowens,34,16,14,1.5
J.B. Brown,34,5,26,0
Chris Canty,34,4,26,0
Kevin Carter,34,4,27,17
Albert Fontenot,34,8,21,5
Scott Galyon,34,9,19,1
Brad Ottis,34,12,9,1
Marquis Smith,34,4,23,0
Chidi Ahanotu,33,9,19,6.5
Tom Carter,33,4,25,0
Charles Dimry,33,1,30,0
Grady Jackson,33,10,20,4
Ernie Logan,33,6,20,3
Brady Smith,33,8,20,6
Larry Whigham,33,10,17,3
Bernard Whittington,33,6,22,1
Ray Agnew,32,11,15,2.5
Terry Killens,32,9,21,0
Alshermond Singleton,32,9,13,0.5
Michael Swift,32,1,29,0
Steve Tovar,32,9,22,0
Larry Webster,32,8,21,2
Dan Wilkinson,32,9,20,8
Pat Williams,32,7,18,2.5
Fakhir Brown,31,2,29,0
Jason Ferguson,31,10,12,1
Darrien Gordon,31,4,20,1
Marcus Jones,31,5,16,7
Jeremy Lincoln,31,5,21,0
Craig Sauer,31,6,22,1
Scott Shields,31,5,24,1
Neil Smith,31,6,23,6.5
Omar Stoutmire,31,4,21,1
Keith Traylor,31,7,22,1.5
Jeff Zgonina,31,5,23,4.5
Jerry Azumah,30,4,23,0
Marlon Forbes,30,11,15,0
Kevin Henry,30,8,14,1
Keith Lyle,30,7,18,1
Keith McKenzie,30,11,18,8
Roderick Mullen,30,3,25,0
Bryce Paup,30,6,22,1
Mike Rucker,30,6,20,3
Joel Steed,30,14,11,3
Elijah Williams,30,3,25,0
Eric Barton,29,2,25,3
Doug Colman,29,6,20,0
Antonio Langham,29,2,24,0
R.W. McQuarters,29,3,25,0
Leslie O'Neal,29,6,20,5.5
Jason Perry,29,5,22,0
Troy Wilson,29,6,19,5.5
Zack Bronson,28,8,18,0
Je'Rod Cherry,28,2,24,0
Tyronne Drakeford,28,3,22,0
Ty Howard,28,1,22,0
Ed Jasper,28,5,21,0
Donta Jones,28,3,22,0
Scott Kowalkowski,28,15,12,1
Blaine McElmurry,28,7,20,0
Ike Reese,28,6,22,3
Terrance Shaw,28,4,19,0
Dan Williams,28,2,25,5
Tom Barndt,27,6,18,2.5
Jason Peter,27,5,22,4.5
James E. Williams,27,4,17,0
Tito Wooten,27,8,16,0
Billy Austin,26,4,17,0
Ferric Collons,26,6,12,2
Josh Evans,26,5,16,3.5
Christian Peter,26,7,12,0
Frankie Smith,26,3,22,1
Gabe Wilkins,26,6,15,1
Jamal Williams,26,4,19,1
Reinard Wilson,26,7,19,3
Trace Armstrong,25,8,14,7.5
Phil Clarke,25,6,12,0
Henry Ford,25,11,13,5.5
Harald Hasselbach,25,7,17,2.5
Patrick Kerney,25,7,13,2.5
Jevon Langford,25,6,15,0
Joey Porter,25,3,20,2
Izell Reese,25,5,16,0
Andre Wadsworth,25,6,15,2
Marquis Walker,25,4,16,1
Marcellus Wiley,25,6,16,5
Jerry Ball,24,8,8,2
Lamar Campbell,24,5,16,0
Duane Hawthorne,24,4,20,0
Jeff Kelly,24,3,20,0
J.J. McCleskey,24,2,15,0
Allen Rossum,24,3,19,0
Dave Thomas,24,2,21,0
Mark Thomas,24,4,19,3
Kimo von Oelhoffen,24,1,18,4
Anthony Cook,23,7,15,3
Ebenezer Ekuban,23,4,16,2.5
Ron George,23,3,20,0
Kevin Mitchell,23,1,13,0
Pete Monty,23,5,10,0
Brandon Noble,23,8,13,3
Riddick Parker,23,9,9,2
Seth Payne,23,10,10,1.5
Adrian Ross,23,4,18,1
Lawrence Wright,23,5,12,0
Anthony Bass,22,3,17,0
Anthony Davis,22,4,15,0
Tim Denton,22,1,19,0
Greg Manusky,22,3,17,0
Mike Morton,22,4,16,0
Chris Rogers,22,2,20,0
Patrick Sapp,22,6,13,1
Sam Sword,22,7,13,1
Bertrand Berry,21,7,8,1
Dre' Bly,21,3,18,0
Michael Booker,21,2,16,0
Antonio Edwards,21,4,15,2
Lenoy Jones,21,4,15,0
Emmanuel McDaniel,21,2,18,0
Khari Samuel,21,6,13,0
Brandon Sanders,21,7,10,0
Jerry Wilson,21,3,17,3
Anthony Dorsett,20,3,14,0
Tony George,20,4,10,0
Bernard Holsey,20,5,11,0
Cletidus Hunt,20,10,6,0.5
Larry Izzo,20,5,15,0
Travis Kirschke,20,8,9,2
