Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Jake Elliott,51,3305,302,41,80.4,10,30.2,0,0,0,0
Matt Gay,51,3283,234,40,78.4,9,26,0,0,0,0
Justin Tucker,51,3268,142,43,84.3,7,20.3,0,0,0,0
Tyler Bass,50,3155,344,31,62,17,20.2,1,0,1,0
Brandon Aubrey,49,3186,28,46,93.9,1,28,0,0,1,0
Blake Grupe,47,3066,84,43,91.5,4,21,0,0,0,0
Greg Joseph,46,2937,253,34,73.9,10,25.3,1,0,1,0
Harrison Butker,45,2931,50,43,95.6,2,25,0,0,0,0
Brandon McManus,44,2828,168,35,79.6,5,33.6,0,0,0,1
Jason Sanders,44,2867,263,36,81.8,8,32.9,0,0,0,1
Dustin Hopkins,43,2734,242,28,65.1,13,18.6,0,0,0,0
Cairo Santos,43,2698,130,35,81.4,6,21.7,2,0,0,0
Cameron Dicker,42,2710,85,37,88.1,4,21.2,0,0,0,0
Bradley Pinion,42,2716,131,35,83.3,6,21.8,0,0,0,0
Ethan Evans,40,2576,145,35,87.5,5,29,0,0,0,0
Jason Myers,40,2556,134,29,72.5,7,19.1,0,0,1,0
Joey Slye,40,2502,0,38,95,0,0,2,0,0,0
Jake Camarda,39,2497,225,26,66.7,12,18.8,0,0,0,0
Daniel Carlson,39,2497,324,24,61.5,15,21.6,0,0,0,0
Wil Lutz,39,2436,14,36,92.3,1,14,2,0,0,0
Nick Folk,38,2392,326,21,55.3,15,21.7,1,0,0,0
Jake Moody,38,2393,253,22,57.9,13,19.5,0,0,2,0
Matt Prater,38,2368,63,31,81.6,3,21,2,1,0,0
Ka'imi Fairbairn,37,2390,320,22,59.5,13,24.6,0,0,0,0
Jack Fox,37,2390,287,23,62.2,14,20.5,0,0,0,0
Evan McPherson,36,2319,113,28,77.8,6,18.8,0,0,0,0
Chris Boswell,35,2230,141,27,77.1,6,23.5,0,0,0,0
Anders Carlson,35,2224,275,21,60,12,22.9,1,0,0,0
Chad Ryland,34,2173,239,23,67.6,11,21.7,0,0,0,0
Eddy Pineiro,32,1968,223,21,65.6,9,24.8,2,0,0,0
Greg Zuerlein,29,1884,24,28,96.6,1,24,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Jake Bailey,8,522,41,6,75,2,20.5,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Riley Patterson,6,326,55,2,33.3,3,18.3,1,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Randy Bullock,2,130,0,2,100,0,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
