Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dustin Hopkins,20,23,87,0/0,3/3,2/2,8/11,7/7,0/0,58,0
Younghoe Koo,20,21,95.2,0/0,6/6,5/5,6/7,3/3,0/0,54,0
Brandon Aubrey,19,19,100,0/0,8/8,6/6,1/1,4/4,0/0,58,0
Nick Folk,19,19,100,0/0,5/5,7/7,4/4,3/3,0/0,53,0
Harrison Butker,18,18,100,0/0,3/3,10/10,2/2,2/2,1/1,60,0
Jake Elliott,18,20,90,0/0,5/5,5/6,3/3,4/5,1/1,61,0
Ka'imi Fairbairn,18,19,94.7,0/0,6/6,9/9,2/2,1/2,0/0,50,0
Blake Grupe,18,23,78.3,0/0,6/7,4/4,4/6,4/6,0/0,55,0
Greg Zuerlein,18,19,94.7,0/0,4/4,7/7,6/6,1/2,0/0,52,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Brandon McManus,17,19,89.5,0/0,1/1,5/5,7/8,4/5,0/0,56,1
Matt Gay,16,18,88.9,0/0,5/5,2/2,3/4,6/6,0/1,57,1
Justin Tucker,16,19,84.2,0/0,5/5,5/5,5/5,1/3,0/1,50,0
Chase McLaughlin,15,17,88.2,0/0,4/4,6/6,1/2,4/5,0/0,57,2
Jason Myers,15,19,79,0/0,3/3,8/9,3/4,1/3,0/0,55,0
Chris Boswell,14,15,93.3,0/0,4/4,2/2,4/4,4/4,0/1,57,0
Daniel Carlson,14,17,82.4,0/0,8/8,2/2,4/5,0/2,0/0,47,1
Eddy Pineiro,14,16,87.5,0/0,2/2,4/4,5/6,3/4,0/0,56,0
Matt Prater,14,16,87.5,0/0,2/2,5/6,4/4,2/3,1/1,62,0
Cameron Dicker,13,14,92.9,0/0,3/3,4/4,2/2,4/5,0/0,55,0
Greg Joseph,13,17,76.5,1/1,6/6,2/2,1/3,3/5,0/0,54,1
Wil Lutz,13,15,86.7,0/0,6/6,5/6,0/0,2/3,0/0,52,1
Tyler Bass,12,15,80,0/0,1/1,7/7,1/2,3/5,0/0,54,0
Evan McPherson,12,15,80,0/0,3/3,0/0,5/5,4/7,0/0,56,0
Jake Moody,12,15,80,0/0,5/5,3/3,2/4,2/3,0/0,57,0
Cairo Santos,12,13,92.3,0/0,4/4,3/3,2/3,3/3,0/0,54,0
Joey Slye,12,16,75,0/0,1/2,6/6,2/4,2/3,1/1,61,1
Anders Carlson,11,13,84.6,0/0,3/3,6/6,0/2,2/2,0/0,52,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Riley Patterson,11,13,84.6,0/0,1/2,8/8,1/1,1/2,0/0,52,0
Chad Ryland,10,14,71.4,0/0,2/2,2/2,5/7,1/3,0/0,51,0
Jason Sanders,7,9,77.8,0/0,2/2,1/1,4/5,0/1,0/0,45,1
Lucas Havrisik,3,4,75,0/0,0/0,1/1,1/2,1/1,0/0,52,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
