Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,53.1,44.7,2369,54,74,2812,28,8,6,10,7,22,243,0,1
Matt Haack,51.7,41.7,125,3,56,155,0,1,0,0,0,2,30,0,0
Bryan Anger,51.4,44.9,1975,44,63,2262,17,2,3,2,13,24,247,0,0
Blake Gillikin,50.6,43.4,2085,48,77,2428,9,2,7,2,9,28,303,0,0
AJ Cole,50,44.8,3179,71,83,3549,33,14,3,6,20,28,250,0,0
Michael Dickson,49.9,43.8,2675,61,73,3045,23,3,8,8,11,31,210,0,0
Braden Mann,49.7,44,1761,40,63,1989,14,2,8,1,5,24,208,0,0
Jake Camarda,49.6,42,2980,71,74,3524,26,11,8,7,9,35,404,0,0
Corey Bojorquez,49.5,42.3,3386,80,73,3959,27,12,5,9,14,40,393,0,0
Ethan Evans,49.3,39.1,2387,62,72,3005,19,7,5,7,12,30,478,2,1
Thomas Morstead,49,41.8,3844,92,62,4509,33,6,6,8,27,45,505,1,0
Ryan Wright,48.2,42.5,2338,55,68,2649,15,7,2,7,16,23,171,0,0
Rigoberto Sanchez,47.9,42.9,2747,65,69,3065,21,7,10,0,12,35,318,0,1
Mitch Wishnowsky,47.7,42.9,2102,49,67,2336,25,3,11,2,13,20,194,0,0
Logan Cooke,47.5,43.8,2627,60,65,2850,29,8,5,4,21,22,143,0,0
Cameron Johnston,47.4,43.8,2629,60,74,2847,26,2,8,3,24,23,158,0,0
Johnny Hekker,47.3,43.2,3282,76,69,3592,24,5,12,5,23,31,210,0,0
Tommy Townsend,47.2,42.2,2235,53,68,2502,17,4,10,3,16,20,207,0,0
Jordan Stout,47.1,40,2360,60,67,2781,27,8,4,4,16,27,341,1,1
Bryce Baringer,46.9,41,3645,89,79,4176,36,14,7,7,23,38,391,0,0
Bradley Pinion,46.7,41.3,2894,70,62,3269,26,11,5,2,23,29,335,0,0
J.K. Scott,46.5,42.6,2980,70,83,3257,28,4,8,4,29,25,197,0,0
Daniel Whelan,46.2,39.7,2264,57,68,2634,18,2,5,5,22,23,270,1,0
Trenton Gill,46.1,38,2430,64,76,2951,16,6,10,7,11,30,381,1,0
Jamie Gillan,46,42.2,3802,90,74,4144,31,7,8,4,33,38,262,0,0
Tress Way,46,41.7,3004,73,66,3311,30,1,11,2,25,33,267,0,1
Sam Martin,45.9,39.9,1996,50,70,2293,23,5,7,3,16,19,237,1,0
Jack Fox,45.7,41.6,2163,52,70,2378,24,3,6,3,20,20,155,0,0
Riley Dixon,45.7,41.8,3090,74,68,3381,26,5,7,5,27,30,191,0,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jake Bailey,45.5,42,2014,48,66,2185,19,5,7,3,17,16,111,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Ty Zentner,44.6,40.3,1409,35,64,1561,9,5,4,4,15,7,72,0,0
Brad Robbins,44.2,40,2798,70,62,3095,19,7,8,5,22,28,197,0,0
Pressley Harvin III,44,39.3,2827,72,63,3169,28,9,10,5,23,25,242,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,42.8,39.6,2810,71,62,3041,30,9,8,4,23,27,151,0,0
Nick Folk,40.5,39,78,2,41,81,0,0,0,0,1,1,3,0,0
Greg Joseph,14,-3,-3,1,14,14,0,0,0,0,0,1,17,0,0
