Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,102,6612,121,95,93.1,5,24.2,0,0,1,0
Justin Tucker,98,6310,413,79,80.6,17,24.3,0,0,0,0
Tyler Bass,91,5692,649,49,53.8,29,22.4,1,0,1,1
Jake Elliott,88,5651,491,70,79.6,17,28.9,1,0,0,0
Matt Gay,87,5570,361,68,78.2,14,25.8,0,0,0,0
Jake Moody,86,5442,655,54,62.8,29,22.6,0,0,2,0
Jason Sanders,85,5485,416,72,84.7,13,32,0,0,0,1
Anders Carlson,82,5212,837,37,45.1,36,23.2,1,0,1,0
Blake Grupe,82,5243,225,67,81.7,12,18.8,1,0,0,0
Brandon McManus,82,5162,356,62,75.6,14,25.4,2,0,0,1
Jason Myers,82,5169,471,52,63.4,21,22.4,1,0,1,0
Harrison Butker,80,5225,242,71,88.8,9,26.9,0,0,0,0
Jake Camarda,79,4938,452,51,64.6,24,18.8,1,0,0,0
Jack Fox,79,5033,457,53,67.1,22,20.8,1,0,0,0
Ethan Evans,78,5025,229,69,88.5,9,25.4,0,0,0,0
Wil Lutz,78,4926,126,69,88.5,6,21,3,0,0,0
Cameron Dicker,77,4911,190,65,84.4,10,19,1,0,0,0
Dustin Hopkins,76,4828,431,50,65.8,20,21.6,0,0,0,1
Evan McPherson,76,4778,202,59,77.6,12,16.8,2,0,0,0
Bradley Pinion,76,4933,261,63,82.9,11,23.7,0,0,1,0
Cairo Santos,76,4830,350,60,79,14,25,2,0,0,0
Greg Joseph,75,4824,374,58,77.3,15,24.9,1,0,1,0
Matt Prater,74,4518,133,61,82.4,6,22.2,5,1,0,0
Chris Boswell,72,4588,476,51,70.8,18,26.4,0,0,0,0
Daniel Carlson,72,4580,582,44,61.1,26,22.4,1,0,0,0
Joey Slye,69,4325,110,62,89.9,4,27.5,3,0,1,0
Nick Folk,62,3868,621,32,51.6,27,23,2,0,0,0
Greg Zuerlein,60,3893,77,55,91.7,4,19.2,0,0,0,0
Chad Ryland,58,3697,394,39,67.2,19,20.7,0,0,0,0
Eddy Pineiro,56,3525,434,36,64.3,17,25.5,2,0,1,0
Ka'imi Fairbairn,53,3300,375,33,62.3,15,25,2,1,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Matt Ammendola,22,1402,112,16,72.7,6,18.7,0,0,0,0
Randy Bullock,20,1268,153,13,65,6,25.5,0,0,1,0
Riley Patterson,14,822,149,6,42.9,7,21.3,1,0,0,0
Jake Bailey,10,647,41,8,80,2,20.5,0,0,0,0
Mason Crosby,10,599,34,0,0,2,17,0,0,0,0
Trenton Gill,9,541,0,8,88.9,0,0,0,0,0,0
Lucas Havrisik,8,524,51,7,87.5,1,51,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Corey Bojorquez,5,291,57,0,0,3,19,0,0,0,0
Thomas Morstead,5,275,11,2,40,1,11,1,0,0,0
Ty Zentner,5,317,95,1,20,4,23.8,0,0,0,0
Kamu Grugier-Hill,3,142,44,0,0,3,14.7,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Jordan Stout,3,193,46,0,0,3,15.3,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Mike Badgley,1,10,0,0,0,0,0,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
D'Anthony Bell,1,42,9,0,0,1,9,0,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Jamie Gillan,1,51,18,0,0,1,18,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
