Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Brandon Aubrey,35,35,100,0/0,9/9,13/13,4/4,8/8,1/1,60,0
Dustin Hopkins,33,36,91.7,0/0,8/8,7/7,10/13,8/8,0/0,58,0
Jason Myers,33,40,82.5,0/0,7/7,10/11,12/14,4/8,0/0,55,0
Cairo Santos,32,35,91.4,0/0,9/9,9/9,8/10,6/7,0/0,55,0
Greg Zuerlein,32,34,94.1,0/0,7/7,8/9,12/12,5/6,0/0,55,1
Harrison Butker,31,33,93.9,0/0,7/7,13/15,6/6,4/4,1/1,60,0
Younghoe Koo,31,36,86.1,0/0,10/10,9/9,9/11,3/6,0/0,54,0
Justin Tucker,31,36,86.1,0/0,10/10,9/9,11/12,1/4,0/1,50,1
Matt Gay,30,37,81.1,0/0,9/9,7/8,7/9,7/10,0/1,57,1
Wil Lutz,30,34,88.2,0/0,11/11,12/13,4/5,3/5,0/0,52,1
Jake Elliott,29,31,93.6,0/0,9/9,6/7,7/7,6/7,1/1,61,0
Nick Folk,29,30,96.7,0/0,9/9,9/9,6/6,5/6,0/0,53,0
Chris Boswell,28,30,93.3,0/0,8/8,7/7,7/8,6/6,0/1,57,0
Blake Grupe,28,35,80,0/0,8/10,6/6,8/10,6/9,0/0,55,0
Brandon McManus,28,35,80,0/0,4/4,9/9,10/12,5/10,0/0,56,1
Cameron Dicker,27,29,93.1,0/0,6/6,8/8,6/6,7/9,0/0,55,1
Anders Carlson,26,31,83.9,0/0,5/5,14/14,4/7,3/4,0/1,53,0
Ka'imi Fairbairn,26,27,96.3,0/0,10/10,10/10,2/2,4/5,0/0,54,0
Chase McLaughlin,26,28,92.9,0/0,8/8,10/10,2/3,6/7,0/0,57,2
Matt Prater,26,29,89.7,0/0,5/5,6/7,6/6,8/10,1/1,62,0
Evan McPherson,25,30,83.3,0/0,5/5,6/6,7/7,7/12,0/0,56,0
Eddy Pineiro,25,29,86.2,0/0,6/6,7/7,7/9,5/7,0/0,56,0
Tyler Bass,24,29,82.8,0/0,4/4,12/13,4/6,4/6,0/0,54,1
Daniel Carlson,24,28,85.7,0/0,9/9,6/7,8/9,1/3,0/0,54,1
Jason Sanders,24,28,85.7,0/0,6/6,7/7,6/8,5/7,0/0,57,2
Greg Joseph,22,28,78.6,1/1,7/7,8/8,2/5,4/7,0/0,54,1
Jake Moody,21,24,87.5,0/0,7/7,8/8,4/6,2/3,0/0,57,0
Joey Slye,18,23,78.3,0/0,2/3,6/6,7/9,2/4,1/1,61,1
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Riley Patterson,16,18,88.9,0/0,2/3,11/11,2/2,1/2,0/0,52,0
Lucas Havrisik,15,20,75,0/0,8/8,3/3,2/6,2/3,0/0,52,0
Chad Ryland,15,24,62.5,0/0,4/4,4/6,5/10,2/4,0/0,56,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Matt Ammendola,6,9,66.7,0/0,2/2,3/3,1/2,0/2,0/0,45,0
Randy Bullock,5,6,83.3,0/0,0/0,2/2,2/3,1/1,0/0,56,0
Mike Badgley,3,3,100,0/0,0/0,2/2,1/1,0/0,0/0,41,0
Mason Crosby,3,4,75,0/0,0/0,2/2,0/0,1/2,0/0,52,0
Jamie Gillan,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
