Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,52.8,44.4,1866,42,74,2218,22,8,5,7,4,18,212,0,0
AJ Cole,51.9,47.1,2026,43,70,2231,21,6,2,4,15,16,125,0,0
Bryan Anger,50.8,45,1261,28,63,1422,11,1,2,2,9,14,121,0,0
Blake Gillikin,50.8,42.3,1268,30,66,1523,5,1,3,0,3,23,255,0,0
Jake Camarda,50,42.3,1902,45,74,2249,19,9,4,4,5,22,267,0,0
Corey Bojorquez,49.8,42.6,2217,52,73,2592,17,9,4,5,9,25,275,0,0
Michael Dickson,49.5,43.7,1704,39,73,1930,16,2,7,5,5,20,126,0,0
Thomas Morstead,49,42,2437,58,62,2843,19,4,4,5,19,26,306,1,0
Ethan Evans,49,42.2,1605,39,72,1861,13,5,3,2,9,19,216,0,1
Mitch Wishnowsky,48.8,42.9,1331,31,67,1512,16,2,6,1,8,14,161,0,0
Logan Cooke,48.6,44.1,1721,39,62,1896,21,6,4,4,11,14,95,0,0
Jordan Stout,48.6,40.4,1778,45,67,2139,19,4,3,4,12,21,281,1,1
Ryan Wright,48.4,41.7,1459,35,63,1693,8,4,2,6,9,14,114,0,0
Bryce Baringer,48.1,41.9,2097,50,79,2407,23,8,2,5,12,23,210,0,0
Braden Mann,48,41.6,914,22,63,1056,7,0,6,1,4,11,122,0,0
Bradley Pinion,47.8,41.5,1826,44,62,2105,14,8,2,2,13,19,239,0,0
Daniel Whelan,47.6,39,1599,41,68,1952,10,0,1,5,16,19,253,1,0
Tress Way,47.4,42,2060,49,66,2325,19,0,6,2,15,26,225,0,0
Johnny Hekker,47.3,43.8,2016,46,69,2174,17,2,6,2,18,18,118,0,0
Tommy Townsend,47.3,41.1,1438,35,68,1654,11,3,6,3,11,12,156,0,0
Rigoberto Sanchez,47.2,41.5,1866,45,69,2122,16,5,8,0,8,24,256,0,0
Jamie Gillan,46.9,43.8,2806,64,64,2999,21,6,8,3,22,25,133,0,0
Cameron Johnston,46,43.1,1120,26,74,1195,12,1,4,1,10,10,55,0,0
Jake Bailey,45.7,42.3,1269,30,66,1371,11,5,3,2,11,9,62,0,0
Trenton Gill,45.7,36.6,1428,39,62,1782,10,4,6,3,6,20,294,1,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Riley Dixon,45.5,40.7,1586,39,68,1773,10,3,3,3,10,20,127,0,0
Jack Fox,45.2,42.4,1271,30,62,1355,16,1,5,1,13,10,64,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Pressley Harvin III,44.8,40.3,1936,48,63,2151,20,8,7,2,13,18,175,0,0
Brad Robbins,44.8,40.3,1934,48,62,2150,11,6,1,4,20,17,136,0,0
Sam Martin,44.8,38.3,1148,30,70,1343,10,3,4,2,8,13,155,1,0
J.K. Scott,44.3,40.4,1657,41,65,1817,13,2,6,2,17,14,120,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43,39.9,1957,49,62,2109,21,6,5,3,17,18,92,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
