Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dustin Hopkins,26,29,89.7,0/0,6/6,4/4,9/12,7/7,0/0,58,0
Jason Myers,23,28,82.1,0/0,3/3,9/10,8/9,3/6,0/0,55,0
Wil Lutz,22,24,91.7,0/0,7/7,9/10,3/3,3/4,0/0,52,1
Greg Zuerlein,22,23,95.6,0/0,4/4,8/8,8/8,2/3,0/0,53,0
Brandon Aubrey,21,21,100,0/0,9/9,7/7,1/1,4/4,0/0,58,0
Nick Folk,21,22,95.4,0/0,6/6,8/8,4/4,3/4,0/0,53,0
Younghoe Koo,21,22,95.4,0/0,6/6,6/6,6/7,3/3,0/0,54,0
Brandon McManus,20,22,90.9,0/0,2/2,7/7,7/8,4/5,0/0,56,1
Harrison Butker,19,19,100,0/0,3/3,10/10,3/3,2/2,1/1,60,0
Daniel Carlson,19,22,86.4,0/0,8/8,3/3,7/8,1/3,0/0,54,1
Blake Grupe,19,24,79.2,0/0,6/7,4/4,5/7,4/6,0/0,55,0
Matt Prater,19,21,90.5,0/0,3/3,5/6,5/5,5/6,1/1,62,0
Cairo Santos,19,20,95,0/0,4/4,7/7,3/4,5/5,0/0,54,0
Justin Tucker,19,23,82.6,0/0,6/6,6/6,6/6,1/4,0/1,50,1
Chris Boswell,18,19,94.7,0/0,5/5,3/3,6/6,4/4,0/1,57,0
Jake Elliott,18,20,90,0/0,5/5,5/6,3/3,4/5,1/1,61,0
Ka'imi Fairbairn,18,19,94.7,0/0,6/6,9/9,2/2,1/2,0/0,50,0
Matt Gay,17,20,85,0/0,5/5,2/2,3/4,7/8,0/1,57,1
Greg Joseph,17,22,77.3,1/1,6/6,5/5,2/4,3/6,0/0,54,1
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Chase McLaughlin,17,19,89.5,0/0,5/5,7/7,1/2,4/5,0/0,57,2
Eddy Pineiro,17,20,85,0/0,2/2,6/6,6/7,3/5,0/0,56,0
Tyler Bass,16,19,84.2,0/0,1/1,9/9,2/3,4/6,0/0,54,0
Cameron Dicker,16,17,94.1,0/0,5/5,4/4,3/3,4/5,0/0,55,0
Evan McPherson,16,20,80,0/0,4/4,1/1,5/5,6/10,0/0,56,0
Jake Moody,16,19,84.2,0/0,6/6,6/6,2/4,2/3,0/0,57,0
Joey Slye,16,20,80,0/0,2/3,6/6,5/7,2/3,1/1,61,1
Anders Carlson,14,17,82.4,0/0,5/5,7/7,0/2,2/3,0/0,52,0
Riley Patterson,13,15,86.7,0/0,1/2,9/9,2/2,1/2,0/0,52,0
Chad Ryland,12,17,70.6,0/0,3/3,3/4,5/7,1/3,0/0,51,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Jason Sanders,9,12,75,0/0,2/2,1/1,5/6,1/3,0/0,51,1
Lucas Havrisik,4,5,80,0/0,1/1,1/1,1/2,1/1,0/0,52,0
Matt Ammendola,3,4,75,0/0,1/1,1/1,1/2,0/0,0/0,45,0
Randy Bullock,2,2,100,0/0,0/0,1/1,1/1,0/0,0/0,40,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
