Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,64,4167,93,59,92.2,3,31,0,0,1,0
Justin Tucker,64,4113,175,55,85.9,8,21.9,0,0,0,0
Tyler Bass,62,3899,470,36,58.1,23,20.4,1,0,1,0
Greg Joseph,57,3650,307,43,75.4,12,25.6,1,0,1,0
Jake Elliott,55,3565,302,45,81.8,10,30.2,0,0,0,0
Cameron Dicker,54,3477,146,46,85.2,7,20.9,0,0,0,0
Matt Gay,54,3480,256,42,77.8,10,25.6,0,0,0,0
Dustin Hopkins,54,3427,272,34,63,15,18.1,0,0,0,0
Cairo Santos,54,3410,188,44,81.5,8,23.5,2,0,0,0
Brandon McManus,53,3402,269,39,73.6,10,26.9,0,0,0,1
Jason Myers,52,3325,267,36,69.2,12,22.2,0,0,1,0
Blake Grupe,51,3326,84,47,92.2,4,21,0,0,0,0
Joey Slye,51,3217,0,49,96.1,0,0,2,0,0,0
Wil Lutz,50,3151,33,46,92,2,16.5,2,0,0,0
Jake Moody,50,3169,352,29,58,18,19.6,0,0,2,0
Jack Fox,49,3152,314,31,63.3,15,20.9,0,0,0,0
Harrison Butker,48,3126,50,46,95.8,2,25,0,0,0,0
Matt Prater,48,3013,63,41,85.4,3,21,2,1,0,0
Jason Sanders,48,3127,263,40,83.3,8,32.9,0,0,0,1
Jake Camarda,47,2986,277,30,63.8,15,18.5,0,0,0,0
Daniel Carlson,47,3018,338,31,66,16,21.1,0,0,0,0
Evan McPherson,47,2974,113,37,78.7,6,18.8,1,0,0,0
Bradley Pinion,47,3043,153,39,83,7,21.9,0,0,0,0
Anders Carlson,45,2862,406,24,53.3,18,22.6,1,0,1,0
Chris Boswell,44,2797,280,31,70.4,11,25.4,0,0,0,0
Ethan Evans,44,2836,145,39,88.6,5,29,0,0,0,0
Nick Folk,44,2719,344,25,56.8,16,21.5,2,0,0,0
Eddy Pineiro,39,2418,247,26,66.7,10,24.7,2,0,1,0
Ka'imi Fairbairn,37,2390,320,22,59.5,13,24.6,0,0,0,0
Chad Ryland,37,2363,281,25,67.6,12,23.4,0,0,0,0
Greg Zuerlein,36,2334,49,33,91.7,2,24.5,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Randy Bullock,12,751,88,9,75,3,29.3,0,0,0,0
Matt Ammendola,10,623,48,7,70,3,16,0,0,0,0
Jake Bailey,9,587,41,7,77.8,2,20.5,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Riley Patterson,6,326,55,2,33.3,3,18.3,1,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Trenton Gill,1,21,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
