Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,53.1,44.7,2369,54,74,2812,28,8,6,10,7,22,243,0,1
Bryan Anger,52,45.7,1829,40,63,2081,16,2,3,2,12,21,212,0,0
AJ Cole,50.9,45.3,2992,66,83,3362,29,12,2,6,18,28,250,0,0
Blake Gillikin,50.6,43.4,2085,48,77,2428,9,2,7,2,9,28,303,0,0
Jake Camarda,50.3,42.4,2800,66,74,3317,25,9,7,7,9,33,377,0,0
Michael Dickson,49.8,44.2,2562,58,73,2886,23,3,8,6,11,30,204,0,0
Corey Bojorquez,49.5,42.3,3386,80,73,3959,27,12,5,9,14,40,393,0,0
Thomas Morstead,49.4,42,3651,87,62,4296,30,5,6,7,24,45,505,1,0
Braden Mann,49.3,44,1673,38,63,1872,14,2,8,1,5,22,179,0,0
Ethan Evans,48.5,39.8,2228,57,72,2718,17,7,5,6,12,26,370,1,1
Mitch Wishnowsky,48.1,43.2,2028,47,67,2260,23,3,11,2,12,19,192,0,0
Ryan Wright,47.9,42.2,2153,51,63,2444,14,6,2,6,15,22,171,0,0
Rigoberto Sanchez,47.8,42.6,2601,62,69,2916,21,7,10,0,10,34,315,0,1
Logan Cooke,47.5,43.8,2496,57,65,2710,28,8,4,4,21,20,134,0,0
Jordan Stout,47.5,40.2,2289,58,67,2710,27,7,3,4,16,27,341,1,1
Cameron Johnston,47.2,43.8,2496,57,74,2692,25,2,8,3,23,21,136,0,0
Johnny Hekker,47.1,43.2,3022,70,69,3295,23,3,12,4,22,29,193,0,0
Bryce Baringer,47.1,41,3487,85,79,4000,35,14,7,7,21,36,373,0,0
Tommy Townsend,47,41.9,2179,52,68,2445,17,4,10,3,16,19,206,0,0
Bradley Pinion,46.9,41.6,2785,67,62,3141,26,11,5,2,22,27,316,0,0
J.K. Scott,46.6,42.6,2810,66,83,3073,26,4,7,4,27,24,183,0,0
Jamie Gillan,46.1,42.1,3580,85,74,3922,31,6,8,4,29,38,262,0,0
Daniel Whelan,46.1,39.4,2169,55,68,2535,18,2,5,5,22,21,266,1,0
Trenton Gill,45.9,38,2282,60,76,2756,16,5,10,6,11,28,354,1,0
Tress Way,45.7,41.5,2865,70,66,3155,29,1,10,2,25,31,250,0,1
Sam Martin,45.6,38.8,1709,44,70,2004,17,5,4,3,14,18,235,1,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Riley Dixon,45.5,41.7,2879,69,68,3138,23,4,6,4,26,29,179,0,0
Jack Fox,45.5,41.4,1988,48,62,2183,22,3,6,2,17,20,155,0,0
Jake Bailey,45,41.8,1882,45,66,2027,18,5,7,2,16,15,105,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Brad Robbins,44,40.1,2645,66,62,2905,18,7,6,5,22,26,160,0,0
Pressley Harvin III,44,39.2,2781,71,63,3123,27,9,10,5,22,25,242,0,0
Ty Zentner,43.8,39.7,1191,30,58,1313,7,4,3,4,14,5,42,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,42.7,39.4,2563,65,62,2773,27,6,8,4,22,25,130,0,0
Nick Folk,40.5,39,78,2,41,81,0,0,0,0,1,1,3,0,0
Greg Joseph,14,-3,-3,1,14,14,0,0,0,0,0,1,17,0,0
