Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,97,6287,121,90,92.8,5,24.2,0,0,1,0
Justin Tucker,89,5739,339,74,83.2,14,24.2,0,0,0,0
Tyler Bass,85,5304,529,45,52.9,27,19.6,1,0,1,0
Jake Elliott,82,5273,417,67,81.7,14,29.8,1,0,0,0
Matt Gay,81,5180,361,62,76.5,14,25.8,0,0,0,0
Jake Moody,80,5052,655,48,60,29,22.6,0,0,2,0
Jason Sanders,80,5166,315,69,86.2,11,28.6,0,0,0,1
Ethan Evans,78,5025,229,69,88.5,9,25.4,0,0,0,0
Jake Camarda,76,4817,411,51,67.1,22,18.7,0,0,0,0
Blake Grupe,76,4853,225,61,80.3,12,18.8,1,0,0,0
Dustin Hopkins,76,4828,431,50,65.8,20,21.6,0,0,0,1
Jason Myers,76,4835,415,49,64.5,19,21.8,0,0,1,0
Cairo Santos,76,4830,350,60,79,14,25,2,0,0,0
Anders Carlson,75,4746,671,36,48,30,22.4,1,0,1,0
Jack Fox,75,4773,457,49,65.3,22,20.8,1,0,0,0
Brandon McManus,75,4707,356,55,73.3,14,25.4,2,0,0,1
Cameron Dicker,73,4699,190,62,84.9,10,19,0,0,0,0
Wil Lutz,73,4601,126,64,87.7,6,21,3,0,0,0
Harrison Butker,72,4705,242,63,87.5,9,26.9,0,0,0,0
Greg Joseph,72,4626,351,56,77.8,14,25.1,1,0,1,0
Evan McPherson,72,4542,202,56,77.8,11,18.4,2,0,0,0
Bradley Pinion,72,4677,207,61,84.7,9,23,0,0,1,0
Daniel Carlson,67,4305,582,41,61.2,26,22.4,0,0,0,0
Matt Prater,67,4123,133,55,82.1,6,22.2,4,1,0,0
Joey Slye,66,4133,82,60,90.9,3,27.3,3,0,1,0
Chris Boswell,65,4148,394,47,72.3,15,26.3,0,0,0,0
Nick Folk,62,3868,621,32,51.6,27,23,2,0,0,0
Eddy Pineiro,56,3525,434,36,64.3,17,25.5,2,0,1,0
Greg Zuerlein,56,3633,77,51,91.1,4,19.2,0,0,0,0
Chad Ryland,54,3437,352,37,68.5,17,20.7,0,0,0,0
Ka'imi Fairbairn,46,2845,375,26,56.5,15,25,2,1,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Matt Ammendola,22,1402,112,16,72.7,6,18.7,0,0,0,0
Randy Bullock,20,1268,153,13,65,6,25.5,0,0,1,0
Jake Bailey,10,647,41,8,80,2,20.5,0,0,0,0
Riley Patterson,7,376,55,3,42.9,3,18.3,1,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Corey Bojorquez,5,291,57,0,0,3,19,0,0,0,0
Mason Crosby,5,302,34,0,0,2,17,0,0,0,0
Thomas Morstead,5,275,11,2,40,1,11,1,0,0,0
Ty Zentner,4,251,74,1,25,3,24.7,0,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Jordan Stout,3,193,46,0,0,3,15.3,0,0,0,0
Kamu Grugier-Hill,2,95,22,0,0,2,11,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
D'Anthony Bell,1,42,9,0,0,1,9,0,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Trenton Gill,1,21,0,0,0,0,0,0,0,0,0
Jamie Gillan,1,51,18,0,0,1,18,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
