Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Brandon Aubrey,33,33,100,0/0,9/9,13/13,3/3,7/7,1/1,60,0
Dustin Hopkins,33,36,91.7,0/0,8/8,7/7,10/13,8/8,0/0,58,0
Justin Tucker,31,36,86.1,0/0,10/10,9/9,11/12,1/4,0/1,50,1
Younghoe Koo,30,33,90.9,0/0,10/10,8/8,9/10,3/5,0/0,54,0
Jason Myers,30,37,81.1,0/0,6/6,10/11,10/12,4/8,0/0,55,0
Greg Zuerlein,30,31,96.8,0/0,7/7,8/8,10/10,5/6,0/0,55,0
Cairo Santos,29,31,93.6,0/0,8/8,9/9,6/8,6/6,0/0,55,0
Jake Elliott,28,30,93.3,0/0,9/9,6/7,6/6,6/7,1/1,61,0
Nick Folk,28,29,96.6,0/0,9/9,9/9,6/6,4/5,0/0,53,0
Matt Gay,27,34,79.4,0/0,9/9,5/6,6/8,7/10,0/1,57,1
Wil Lutz,27,30,90,0/0,10/10,11/12,3/3,3/5,0/0,52,1
Chase McLaughlin,26,28,92.9,0/0,8/8,10/10,2/3,6/7,0/0,57,2
Chris Boswell,25,27,92.6,0/0,6/6,6/6,7/8,6/6,0/1,57,0
Harrison Butker,25,27,92.6,0/0,5/5,13/15,3/3,3/3,1/1,60,0
Blake Grupe,25,32,78.1,0/0,7/9,5/5,7/9,6/9,0/0,55,0
Eddy Pineiro,25,29,86.2,0/0,6/6,7/7,7/9,5/7,0/0,56,0
Anders Carlson,24,29,82.8,0/0,5/5,12/12,4/7,3/4,0/1,53,0
Cameron Dicker,24,25,96,0/0,6/6,7/7,6/6,5/6,0/0,55,0
Brandon McManus,24,31,77.4,0/0,2/2,7/7,10/12,5/10,0/0,56,1
Evan McPherson,24,29,82.8,0/0,5/5,5/5,7/7,7/12,0/0,56,0
Matt Prater,24,27,88.9,0/0,4/4,5/6,6/6,8/10,1/1,62,0
Tyler Bass,22,27,81.5,0/0,3/3,11/12,4/6,4/6,0/0,54,1
Daniel Carlson,22,26,84.6,0/0,9/9,5/6,7/8,1/3,0/0,54,1
Ka'imi Fairbairn,22,23,95.6,0/0,8/8,9/9,2/2,3/4,0/0,54,0
Jason Sanders,22,26,84.6,0/0,5/5,6/6,6/8,5/7,0/0,57,2
Greg Joseph,21,27,77.8,1/1,7/7,8/8,2/5,3/6,0/0,54,1
Jake Moody,19,22,86.4,0/0,6/6,7/7,4/6,2/3,0/0,57,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Joey Slye,17,22,77.3,0/0,2/3,6/6,6/8,2/4,1/1,61,1
Lucas Havrisik,15,20,75,0/0,8/8,3/3,2/6,2/3,0/0,52,0
Riley Patterson,15,17,88.2,0/0,2/3,10/10,2/2,1/2,0/0,52,0
Chad Ryland,15,23,65.2,0/0,4/4,4/6,5/9,2/4,0/0,56,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Matt Ammendola,6,9,66.7,0/0,2/2,3/3,1/2,0/2,0/0,45,0
Randy Bullock,5,6,83.3,0/0,0/0,2/2,2/3,1/1,0/0,56,0
Mike Badgley,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,37,0
Mason Crosby,1,1,100,0/0,0/0,0/0,0/0,1/1,0/0,52,0
Jamie Gillan,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
