Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Jake Elliott,17,19,89.5,0/0,5/5,5/6,3/3,3/4,1/1,61,0
Ka'imi Fairbairn,17,18,94.4,0/0,6/6,9/9,2/2,0/1,0/0,43,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Brandon Aubrey,16,16,100,0/0,7/7,6/6,1/1,2/2,0/0,55,0
Nick Folk,16,16,100,0/0,5/5,5/5,3/3,3/3,0/0,53,0
Blake Grupe,16,20,80,0/0,5/6,4/4,4/5,3/5,0/0,54,0
Dustin Hopkins,16,18,88.9,0/0,1/1,1/1,7/9,7/7,0/0,58,0
Harrison Butker,15,15,100,0/0,2/2,9/9,2/2,1/1,1/1,60,0
Greg Zuerlein,14,15,93.3,0/0,4/4,5/5,4/4,1/2,0/0,52,0
Younghoe Koo,13,14,92.9,0/0,4/4,4/4,4/5,1/1,0/0,51,0
Brandon McManus,13,15,86.7,0/0,1/1,3/3,7/8,2/3,0/0,56,1
Jason Myers,13,17,76.5,0/0,3/3,6/7,3/4,1/3,0/0,55,0
Matt Prater,13,15,86.7,0/0,2/2,5/6,3/3,2/3,1/1,62,0
Matt Gay,12,14,85.7,0/0,3/3,2/2,2/3,5/5,0/1,56,1
Wil Lutz,12,13,92.3,0/0,5/5,5/5,0/0,2/3,0/0,52,0
Justin Tucker,12,14,85.7,0/0,5/5,3/3,3/3,1/2,0/1,50,0
Chris Boswell,11,11,100,0/0,2/2,1/1,4/4,4/4,0/0,57,0
Daniel Carlson,11,14,78.6,0/0,7/7,2/2,2/3,0/2,0/0,47,1
Chase McLaughlin,11,12,91.7,0/0,4/4,5/5,0/1,2/2,0/0,57,1
Jake Moody,11,14,78.6,0/0,5/5,2/2,2/4,2/3,0/0,57,0
Cairo Santos,11,11,100,0/0,4/4,2/2,2/2,3/3,0/0,54,0
Tyler Bass,10,13,76.9,0/0,1/1,5/5,1/2,3/5,0/0,54,0
Graham Gano,10,14,71.4,0/0,2/2,2/3,3/5,3/4,0/0,57,1
Evan McPherson,10,12,83.3,0/0,2/2,0/0,5/5,3/5,0/0,54,0
Greg Joseph,9,11,81.8,0/0,5/5,0/0,1/1,3/5,0/0,54,0
Eddy Pineiro,9,11,81.8,0/0,1/1,2/2,3/4,3/4,0/0,56,0
Joey Slye,9,13,69.2,0/0,1/2,4/4,2/4,2/3,0/0,51,1
Anders Carlson,8,9,88.9,0/0,2/2,4/4,0/1,2/2,0/0,52,0
Cameron Dicker,8,9,88.9,0/0,3/3,3/3,0/0,2/3,0/0,55,0
Chad Ryland,8,12,66.7,0/0,2/2,1/1,4/6,1/3,0/0,51,0
Riley Patterson,7,8,87.5,0/0,1/1,6/6,0/0,0/1,0/0,38,0
Jason Sanders,6,8,75,0/0,2/2,0/0,4/5,0/1,0/0,45,1
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
