Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dustin Hopkins,24,27,88.9,0/0,5/5,3/3,9/12,7/7,0/0,58,0
Greg Zuerlein,22,23,95.6,0/0,4/4,8/8,8/8,2/3,0/0,53,0
Nick Folk,21,22,95.4,0/0,6/6,8/8,4/4,3/4,0/0,53,0
Younghoe Koo,21,22,95.4,0/0,6/6,6/6,6/7,3/3,0/0,54,0
Jason Myers,20,24,83.3,0/0,3/3,9/10,7/8,1/3,0/0,55,0
Brandon Aubrey,19,19,100,0/0,8/8,6/6,1/1,4/4,0/0,58,0
Blake Grupe,19,24,79.2,0/0,6/7,4/4,5/7,4/6,0/0,55,0
Harrison Butker,18,18,100,0/0,3/3,10/10,2/2,2/2,1/1,60,0
Jake Elliott,18,20,90,0/0,5/5,5/6,3/3,4/5,1/1,61,0
Ka'imi Fairbairn,18,19,94.7,0/0,6/6,9/9,2/2,1/2,0/0,50,0
Brandon McManus,18,20,90,0/0,1/1,6/6,7/8,4/5,0/0,56,1
Matt Prater,18,20,90,0/0,3/3,5/6,5/5,4/5,1/1,62,0
Chris Boswell,17,18,94.4,0/0,4/4,3/3,6/6,4/4,0/1,57,0
Daniel Carlson,17,20,85,0/0,8/8,2/2,6/7,1/3,0/0,54,1
Matt Gay,17,20,85,0/0,5/5,2/2,3/4,7/8,0/1,57,1
Wil Lutz,17,19,89.5,0/0,6/6,6/7,3/3,2/3,0/0,52,1
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Chase McLaughlin,17,19,89.5,0/0,5/5,7/7,1/2,4/5,0/0,57,2
Justin Tucker,17,21,81,0/0,5/5,6/6,5/5,1/4,0/1,50,1
Eddy Pineiro,16,19,84.2,0/0,2/2,6/6,5/6,3/5,0/0,56,0
Greg Joseph,15,20,75,1/1,6/6,3/3,2/4,3/6,0/0,54,1
Cairo Santos,15,16,93.8,0/0,4/4,5/5,2/3,4/4,0/0,54,0
Cameron Dicker,14,15,93.3,0/0,3/3,4/4,3/3,4/5,0/0,55,0
Evan McPherson,14,17,82.4,0/0,3/3,1/1,5/5,5/8,0/0,56,0
Jake Moody,14,17,82.4,0/0,5/5,5/5,2/4,2/3,0/0,57,0
Joey Slye,14,18,77.8,0/0,1/2,6/6,4/6,2/3,1/1,61,1
Anders Carlson,13,15,86.7,0/0,4/4,7/7,0/2,2/2,0/0,52,0
Riley Patterson,13,15,86.7,0/0,1/2,9/9,2/2,1/2,0/0,52,0
Tyler Bass,12,15,80,0/0,1/1,7/7,1/2,3/5,0/0,54,0
Chad Ryland,12,17,70.6,0/0,3/3,3/4,5/7,1/3,0/0,51,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Jason Sanders,7,9,77.8,0/0,2/2,1/1,4/5,0/1,0/0,45,1
Matt Ammendola,3,3,100,0/0,1/1,1/1,1/1,0/0,0/0,45,0
Lucas Havrisik,3,4,75,0/0,0/0,1/1,1/2,1/1,0/0,52,0
Randy Bullock,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
