Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,57,3711,64,53,93,2,32,0,0,1,0
Justin Tucker,57,3658,175,48,84.2,8,21.9,0,0,0,0
Tyler Bass,54,3401,375,33,61.1,18,20.8,1,0,1,0
Matt Gay,54,3480,256,42,77.8,10,25.6,0,0,0,0
Greg Joseph,52,3325,307,38,73.1,12,25.6,1,0,1,0
Jake Elliott,51,3305,302,41,80.4,10,30.2,0,0,0,0
Blake Grupe,51,3326,84,47,92.2,4,21,0,0,0,0
Dustin Hopkins,50,3169,272,31,62,15,18.1,0,0,0,0
Cameron Dicker,49,3165,85,44,89.8,4,21.2,0,0,0,0
Jason Myers,47,3000,267,31,66,12,22.2,0,0,1,0
Bradley Pinion,47,3043,153,39,83,7,21.9,0,0,0,0
Cairo Santos,47,2958,157,38,80.8,7,22.4,2,0,0,0
Brandon McManus,46,2956,188,36,78.3,6,31.3,0,0,0,1
Joey Slye,46,2892,0,44,95.6,0,0,2,0,0,0
Harrison Butker,45,2931,50,43,95.6,2,25,0,0,0,0
Jake Camarda,44,2818,225,30,68.2,12,18.8,0,0,0,0
Jack Fox,44,2838,314,28,63.6,15,20.9,0,0,0,0
Wil Lutz,44,2761,33,40,90.9,2,16.5,2,0,0,0
Jake Moody,44,2781,297,26,59.1,15,19.8,0,0,2,0
Matt Prater,44,2758,63,37,84.1,3,21,2,1,0,0
Jason Sanders,44,2867,263,36,81.8,8,32.9,0,0,0,1
Daniel Carlson,43,2758,338,27,62.8,16,21.1,0,0,0,0
Evan McPherson,42,2707,113,33,78.6,6,18.8,0,0,0,0
Chris Boswell,41,2602,280,28,68.3,11,25.4,0,0,0,0
Nick Folk,41,2587,326,24,58.5,15,21.7,1,0,0,0
Anders Carlson,40,2549,348,22,55,15,23.2,1,0,1,0
Ethan Evans,40,2576,145,35,87.5,5,29,0,0,0,0
Ka'imi Fairbairn,37,2390,320,22,59.5,13,24.6,0,0,0,0
Chad Ryland,37,2363,281,25,67.6,12,23.4,0,0,0,0
Eddy Pineiro,36,2227,247,24,66.7,10,24.7,2,0,0,0
Greg Zuerlein,34,2209,49,32,94.1,2,24.5,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Jake Bailey,8,522,41,6,75,2,20.5,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Matt Ammendola,6,382,25,4,66.7,2,12.5,0,0,0,0
Randy Bullock,6,357,11,5,83.3,1,11,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Riley Patterson,6,326,55,2,33.3,3,18.3,1,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
