Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,52.7,44,1672,38,74,2004,20,7,3,6,4,18,212,0,0
AJ Cole,51.8,47,1741,37,70,1916,19,5,2,4,13,13,95,0,0
Blake Gillikin,50.6,42,1177,28,66,1416,5,1,3,0,3,21,239,0,0
Corey Bojorquez,50.3,43.4,1908,44,73,2212,14,7,3,4,8,22,224,0,0
Jake Camarda,50.1,41.9,1760,42,74,2105,18,8,4,4,5,21,265,0,0
Bryan Anger,49.8,44.8,1119,25,57,1246,10,1,2,1,8,13,107,0,0
Michael Dickson,49.4,43.8,1532,35,73,1728,14,2,7,5,5,16,96,0,0
Thomas Morstead,49,42.2,2195,52,62,2546,18,4,4,4,18,22,271,1,0
Jordan Stout,48.9,41,1640,41,67,1957,18,4,3,3,12,18,257,1,1
Mitch Wishnowsky,48.5,44.4,1242,28,67,1359,16,2,6,1,7,12,97,0,0
Logan Cooke,48.5,44.1,1633,37,62,1793,20,5,4,4,11,13,80,0,0
Ethan Evans,48.4,41.4,1367,34,72,1598,12,5,1,2,8,17,191,0,1
Ryan Wright,48.4,42.6,1404,33,63,1598,8,4,2,4,9,14,114,0,0
Tommy Townsend,48.2,43.3,1255,29,68,1398,11,1,6,2,11,9,103,0,0
Bryce Baringer,48.1,41.9,2097,50,79,2407,23,8,2,5,12,23,210,0,0
Braden Mann,48.1,42.5,638,15,59,722,6,0,5,1,4,5,64,0,0
Bradley Pinion,47.8,41.5,1826,44,62,2105,14,8,2,2,13,19,239,0,0
Tress Way,47.6,42.3,1986,47,66,2235,19,0,6,2,15,24,209,0,0
Daniel Whelan,47.5,38.7,1432,37,68,1759,8,0,1,4,14,18,247,1,0
Rigoberto Sanchez,47.2,41.5,1866,45,69,2122,16,5,8,0,8,24,256,0,0
Johnny Hekker,47.1,43.8,1794,41,69,1932,16,2,6,1,14,18,118,0,0
Jamie Gillan,47,44,2508,57,64,2681,19,6,8,2,20,21,133,0,0
Pressley Harvin III,46,41.5,1618,39,63,1796,16,7,7,2,8,15,138,0,0
Sam Martin,45.9,38.7,1044,27,70,1239,9,3,2,2,7,13,155,1,0
Cameron Johnston,45.9,42.9,1029,24,74,1101,11,1,4,1,10,8,52,0,0
Trenton Gill,45.7,36.7,1357,37,62,1691,10,3,6,2,6,20,294,1,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jake Bailey,45.5,42.2,1138,27,63,1228,9,4,3,2,10,8,50,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Brad Robbins,45,40.5,1742,43,62,1933,11,6,1,3,17,16,131,0,0
Jack Fox,44.9,41.9,1174,28,62,1258,14,1,5,1,12,9,64,0,0
Riley Dixon,44.5,40.5,1416,35,63,1556,10,3,3,2,10,17,100,0,0
J.K. Scott,44,40.1,1523,38,65,1674,12,2,6,2,17,11,111,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43,39.9,1957,49,62,2109,21,6,5,3,17,18,92,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
