Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Michael Dickson,53.5,48.8,634,13,73,695,5,1,3,2,1,6,21,0,0
Jake Camarda,53.2,43,774,18,74,958,9,2,2,2,3,9,144,0,0
AJ Cole,52.1,49,686,14,70,729,6,1,2,1,5,5,23,0,0
Ryan Stonehouse,51.8,43.4,738,17,74,880,7,4,0,3,1,9,82,0,0
Ryan Wright,51.7,44.6,669,15,61,775,3,2,2,2,1,8,66,0,0
Bryan Anger,51.5,46.4,464,10,57,515,4,0,1,1,3,5,31,0,0
Sam Martin,51.1,38.9,272,7,70,358,3,1,1,1,1,3,66,1,0
Jamie Gillan,50.3,45.5,773,17,62,855,4,0,2,1,7,7,62,0,0
Bradley Pinion,49.9,47.6,904,19,62,948,7,4,1,0,7,7,44,0,0
Tommy Townsend,49.4,46.8,561,12,58,593,6,1,3,0,4,4,32,0,0
Johnny Hekker,49,44.5,890,20,69,980,8,1,3,1,6,9,70,0,0
Jordan Stout,49,39.6,832,21,67,1029,8,2,2,1,8,8,177,1,0
Ethan Evans,48.5,41.1,493,12,72,582,4,1,0,0,4,7,89,0,0
Logan Cooke,48,44.8,672,15,59,720,10,3,2,1,4,5,28,0,0
Daniel Whelan,47.8,36.7,661,18,68,860,3,0,0,3,7,8,139,1,0
Trenton Gill,47.7,39,624,16,58,763,4,2,2,1,2,9,119,0,0
Brad Wing,47.6,40.8,204,5,52,238,1,1,0,1,1,2,14,0,0
Thomas Morstead,47.2,43,946,22,58,1039,8,2,1,2,11,6,53,0,0
Pressley Harvin III,47.2,40.6,772,19,63,897,8,3,4,2,2,8,85,0,0
Corey Bojorquez,47,41.9,963,23,67,1081,7,7,1,1,6,8,98,0,0
Tress Way,46.9,39,663,17,66,797,5,0,3,0,4,10,134,0,0
Jake Bailey,46,44.1,353,8,55,368,0,1,0,0,4,3,15,0,0
Mitch Wishnowsky,45.8,42.6,468,11,67,504,8,2,2,1,3,3,16,0,0
Jack Fox,45.6,41.8,668,16,62,729,7,0,3,0,5,8,61,0,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Rigoberto Sanchez,45,38.5,808,21,54,946,6,3,3,0,3,12,138,0,0
Bryce Baringer,43.9,38,836,22,65,965,11,2,1,1,8,10,109,0,0
Riley Dixon,43.6,40.3,564,14,61,611,6,1,1,0,6,6,47,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Brad Robbins,43.4,39.1,900,23,62,997,4,4,0,2,9,8,57,0,0
Lou Hedley,43.1,39.2,823,21,52,906,8,4,2,1,4,10,63,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
Braden Mann,41.8,38.2,153,4,48,167,2,0,0,0,3,1,14,0,0
J.K. Scott,40.7,38.7,619,16,62,651,5,1,3,1,8,3,12,0,0
