Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,29,1889,28,28,96.6,1,28,0,0,0,0
Tyler Bass,29,1867,205,20,69,9,22.8,0,0,0,0
Jake Elliott,25,1627,91,22,88,3,30.3,0,0,0,0
Jason Myers,24,1544,64,19,79.2,3,21.3,0,0,0,0
Harrison Butker,22,1431,22,21,95.4,1,22,0,0,0,0
Cameron Dicker,22,1433,40,21,95.4,1,40,0,0,0,0
Jack Fox,22,1416,210,12,54.6,10,21,0,0,0,0
Ethan Evans,21,1364,34,20,95.2,1,34,0,0,0,0
Ka'imi Fairbairn,21,1366,159,12,57.1,7,22.7,0,0,0,0
Matt Gay,21,1351,77,16,76.2,4,19.2,0,0,0,0
Wil Lutz,21,1266,0,19,90.5,0,0,2,0,0,0
Matt Prater,21,1372,39,19,90.5,2,19.5,0,0,0,0
Jason Sanders,21,1368,123,19,90.5,2,61.5,0,0,0,1
Jake Camarda,20,1282,101,14,70,5,20.2,0,0,0,0
Anders Carlson,20,1247,163,11,55,8,20.4,1,0,0,0
Justin Tucker,20,1300,0,20,100,0,0,0,0,0,0
Nick Folk,19,1221,185,11,57.9,8,23.1,0,0,0,0
Dustin Hopkins,19,1213,110,12,63.2,6,18.3,0,0,0,0
Brandon McManus,19,1216,132,15,79,4,33,0,0,0,1
Jake Moody,19,1205,49,14,73.7,3,16.3,0,0,2,0
Blake Grupe,18,1176,24,17,94.4,1,24,0,0,0,0
Greg Joseph,18,1120,47,15,83.3,2,23.5,1,0,0,0
Chris Boswell,17,1109,35,16,94.1,1,35,0,0,0,0
Bradley Pinion,17,1114,55,14,82.4,2,27.5,0,0,0,0
Cairo Santos,17,1056,55,13,76.5,3,18.3,1,0,0,0
Joey Slye,17,1105,0,17,100,0,0,0,0,0,0
Daniel Carlson,15,990,111,11,73.3,4,27.8,0,0,0,0
Eddy Pineiro,15,969,157,9,60,6,26.2,0,0,0,0
Evan McPherson,14,888,32,11,78.6,2,16,0,0,0,0
Chad Ryland,14,891,66,11,78.6,3,22,0,0,0,0
Graham Gano,13,846,49,11,84.6,2,24.5,0,0,0,0
Greg Zuerlein,10,650,0,10,100,0,0,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Jake Bailey,6,392,41,4,66.7,2,20.5,0,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
