Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
David Akers,44,52,84.6,2/2,16/16,13/14,6/11,7/9,0/0,55,3
Mike Nugent,33,38,86.8,0/0,14/14,5/8,14/16,0/0,0/0,49,1
Dan Bailey,32,37,86.5,1/1,8/9,11/11,10/12,2/4,0/0,51,1
Neil Rackers,32,38,84.2,0/0,14/14,10/11,4/8,4/5,0/0,54,0
Graham Gano,31,41,75.6,0/0,14/15,5/9,8/11,4/6,0/0,59,5
Sebastian Janikowski,31,35,88.6,1/1,8/8,5/5,10/11,6/8,1/2,63,2
Rob Bironas,29,32,90.6,0/0,5/5,9/10,9/10,6/6,0/1,53,0
Dan Carpenter,29,34,85.3,0/0,10/11,6/7,11/12,2/4,0/0,58,1
Billy Cundiff,28,37,75.7,1/1,9/9,10/12,7/9,1/6,0/0,51,0
Stephen Gostkowski,28,33,84.8,1/1,12/13,5/6,9/11,1/2,0/0,50,0
Robbie Gould,28,32,87.5,0/0,10/10,6/6,6/10,6/6,0/0,57,0
John Kasay,28,34,82.4,0/0,11/11,10/10,5/8,2/5,0/0,53,0
Matt Bryant,27,29,93.1,2/2,9/9,9/9,5/7,2/2,0/0,51,0
Nick Novak,27,34,79.4,0/0,11/11,4/5,8/11,4/7,0/0,53,0
Connor Barth,26,28,92.9,0/0,5/5,6/6,13/14,2/3,0/0,55,0
Steven Hauschka,25,30,83.3,2/2,5/6,9/10,7/8,2/3,0/1,52,2
Mason Crosby,24,28,85.7,1/1,4/5,14/14,3/5,2/3,0/0,58,0
Phil Dawson,24,29,82.8,0/0,7/9,3/4,7/8,7/8,0/0,54,2
Jason Hanson,24,29,82.8,0/0,9/9,8/9,2/4,5/7,0/0,51,1
Alex Henery,24,27,88.9,0/0,10/10,9/11,4/4,1/1,0/1,51,0
Ryan Succop,24,30,80,1/1,7/7,6/7,7/12,3/3,0/0,54,2
Josh Scobee,23,25,92,1/1,5/5,5/5,7/8,5/6,0/0,55,0
Shaun Suisham,23,31,74.2,2/2,8/8,6/8,6/11,1/2,0/0,51,1
Adam Vinatieri,23,27,85.2,0/0,7/7,6/7,8/10,2/3,0/0,53,1
Ryan Longwell,22,28,78.6,0/0,7/7,7/8,6/10,2/3,0/0,53,1
Olindo Mare,22,28,78.6,1/1,7/7,6/9,8/9,0/2,0/0,45,2
Josh Brown,21,28,75,0/0,7/7,6/7,8/12,0/2,0/0,49,1
Jay Feely,19,24,79.2,0/0,9/9,4/6,5/7,1/2,0/0,51,0
Nick Folk,19,25,76,0/0,5/6,6/6,5/7,3/5,0/1,51,0
Matt Prater,19,25,76,0/0,5/6,8/8,3/7,3/4,0/0,59,1
Lawrence Tynes,19,24,79.2,0/0,12/12,3/4,3/5,1/2,0/1,50,2
Rian Lindell,13,15,86.7,0/0,6/6,2/3,5/6,0/0,0/0,49,1
Dave Rayner,10,15,66.7,0/0,5/6,3/4,0/1,2/4,0/0,56,0
Shayne Graham,6,7,85.7,0/0,4/4,0/0,2/3,0/0,0/0,48,0
Mike Scifres,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Brandon Coutu,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
