Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jake Camarda,54.9,44.9,629,14,74,768,7,1,2,2,2,7,99,0,0
Michael Dickson,53.4,46.7,420,9,73,481,2,1,1,2,0,5,21,0,0
Sam Martin,53,35.8,179,5,70,265,2,1,0,1,1,2,66,1,0
Ryan Stonehouse,52.5,43.1,647,15,74,787,5,4,0,3,0,8,80,0,0
AJ Cole,51.1,48.3,435,9,60,460,3,1,1,1,4,2,5,0,0
Ethan Evans,51,42.6,383,9,72,459,2,1,0,0,2,6,76,0,0
Ryan Wright,50.8,44.4,488,11,58,559,3,2,1,2,1,5,31,0,0
Bryan Anger,50.4,43.8,350,8,56,403,2,0,1,1,2,4,33,0,0
Johnny Hekker,50.1,46,690,15,69,751,6,1,3,0,5,6,61,0,0
Jordan Stout,49.6,37.3,522,14,67,695,5,0,2,1,6,5,153,1,0
Tommy Townsend,49.5,47.4,474,10,58,495,5,1,3,0,3,3,21,0,0
Jamie Gillan,48.9,45.7,548,12,62,587,2,0,1,0,5,6,39,0,0
Tress Way,48.7,40.7,488,12,66,584,5,0,2,0,3,7,96,0,0
Thomas Morstead,48.5,43.6,742,17,58,825,4,2,0,2,8,5,43,0,0
Bradley Pinion,48.4,46.4,650,14,60,677,4,3,1,0,5,5,27,0,0
Trenton Gill,48.1,39.9,559,14,58,673,3,2,2,1,1,8,94,0,0
Nolan Cooney,47.5,43.1,431,10,56,475,2,1,0,1,3,5,24,0,0
Pressley Harvin III,47.2,40.6,772,19,63,897,8,3,4,2,2,8,85,0,0
Corey Bojorquez,47.2,42.5,637,15,66,708,6,5,0,1,4,5,51,0,0
Logan Cooke,46.7,42.7,512,12,57,560,7,2,1,1,3,5,28,0,0
Daniel Whelan,46.2,33,429,13,68,601,3,0,0,3,5,5,112,1,0
Jake Bailey,46,43,215,5,55,230,0,0,0,0,2,3,15,0,0
Mitch Wishnowsky,45.9,42.3,423,10,67,459,7,2,1,1,3,3,16,0,0
Jack Fox,45.8,43.5,522,12,62,549,6,0,2,0,4,6,27,0,0
Riley Dixon,44.8,40.9,409,10,61,448,4,1,1,0,3,5,39,0,0
Rigoberto Sanchez,44.3,37.1,630,17,54,753,5,3,3,0,3,8,123,0,0
Lou Hedley,43.8,39.3,668,17,52,744,5,4,2,1,1,9,56,0,0
Bryce Baringer,43.5,36.7,624,17,65,740,10,2,1,1,5,8,96,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Ty Zentner,43.3,39.6,436,11,54,476,1,2,1,2,5,1,0,0,0
Brad Robbins,41.1,38.9,700,18,54,740,4,3,0,1,9,5,20,0,0
J.K. Scott,40.9,38.3,460,12,62,491,5,0,2,1,7,2,11,0,0
Braden Mann,38,38,38,1,38,38,1,0,0,0,1,0,0,0,0
