Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,21,1369,28,20,95.2,1,28,0,0,0,0
Tyler Bass,20,1291,114,15,75,5,22.8,0,0,0,0
Jason Myers,19,1221,45,16,84.2,2,22.5,0,0,0,0
Jake Elliott,18,1164,62,16,88.9,2,31,0,0,0,0
Jason Sanders,18,1169,99,17,94.4,1,99,0,0,0,1
Cameron Dicker,17,1105,0,17,100,0,0,0,0,0,0
Dustin Hopkins,17,1089,66,12,70.6,4,16.5,0,0,0,0
Matt Prater,17,1107,21,16,94.1,1,21,0,0,0,0
Harrison Butker,16,1040,0,16,100,0,0,0,0,0,0
Matt Gay,16,1027,77,12,75,4,19.2,0,0,0,0
Anders Carlson,15,974,135,8,53.3,7,19.3,0,0,0,0
Ethan Evans,15,974,34,14,93.3,1,34,0,0,0,0
Ka'imi Fairbairn,15,975,90,9,60,4,22.5,0,0,0,0
Jack Fox,15,947,94,10,66.7,5,18.8,0,0,0,0
Wil Lutz,15,876,0,13,86.7,0,0,2,0,0,0
Bradley Pinion,15,984,55,12,80,2,27.5,0,0,0,0
Justin Tucker,15,975,0,15,100,0,0,0,0,0,0
Chris Boswell,14,910,0,14,100,0,0,0,0,0,0
Jake Camarda,14,922,62,11,78.6,3,20.7,0,0,0,0
Blake Grupe,14,916,24,13,92.9,1,24,0,0,0,0
Greg Joseph,14,859,23,12,85.7,1,23,1,0,0,0
Nick Folk,13,842,160,6,46.2,7,22.9,0,0,0,0
Brandon McManus,13,826,132,9,69.2,4,33,0,0,0,1
Jake Moody,13,833,36,10,76.9,2,18,0,0,1,0
Evan McPherson,12,760,16,10,83.3,1,16,0,0,0,0
Eddy Pineiro,12,778,102,8,66.7,4,25.5,0,0,0,0
Chad Ryland,12,761,66,9,75,3,22,0,0,0,0
Cairo Santos,12,731,55,9,75,2,27.5,1,0,0,0
Joey Slye,12,780,0,12,100,0,0,0,0,0,0
Daniel Carlson,11,729,96,8,72.7,3,32,0,0,0,0
Graham Gano,11,714,19,10,90.9,1,19,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Greg Zuerlein,6,390,0,6,100,0,0,0,0,0,0
Jake Bailey,5,329,22,4,80,1,22,0,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
