Player,Comb,Asst,Solo,Sck
Eugene Lockhart,147,24,111,2
Kyle Clifton,138,34,78,2
Gary Plummer,136,20,98,0
Ken Harvey,122,11,99,7
Jeff Herrod,122,23,77,2
Tim McDonald,115,14,90,0
Scott Studwell,113,24,64,1
Barry Krauss,108,6,90,1
Jessie Tuggle,107,14,80,1
Mike Singletary,104,17,67,1
Chris Spielman,102,8,87,5
Johnny Rembert,98,7,81,2.5
Johnny Holland,97,7,85,0
Eugene Robinson,97,19,63,0
Brian Noble,96,7,86,2
Nesby Glasgow,94,9,66,0
Thomas Benson,93,16,58,2
Troy Benson,93,22,40,0
Fred Marion,93,6,85,0
Joey Browner,92,13,71,1
David Wyman,92,19,58,0
Rickey Dixon,91,8,75,0
David Little,91,5,77,2
Bennie Blades,88,7,78,0
David Fulcher,88,15,62,0
Thane Gash,88,22,55,2
Myron Guyton,88,18,60,0
Erik McMillan,86,14,61,2
Michael Walter,86,4,78,1
Duane Bickett,85,12,61,8
Darryl Talley,85,16,64,6
Carl Banks,83,14,51,4
Darren Comeaux,83,16,53,0
Eric Hill,83,13,57,1
Clay Matthews,82,18,49,4
Sam Mills,82,5,69,3
Bruce Smith,82,10,63,13
Fredd Young,82,9,63,2
Anthony Bell,81,12,60,2
Mike Johnson,81,16,43,1
Joe Nash,81,19,49,8
Ed Reynolds,81,4,72,0
Jimmy Williams,81,7,68,4
Felix Wright,81,9,59,0
Rod Jones,80,1,73,0
Tony Casillas,79,9,59,2
Byron Evans,79,4,73,2
Bob Golic,79,20,45,3.5
Leslie O'Neal,79,17,52,12.5
Greg Lloyd,78,5,68,7
Mark Murphy,78,3,72,1
Steve Atwater,77,6,67,0
Ervin Randle,77,10,59,1
Eddie Anderson,76,17,45,0
Mark Collins,76,7,63,1
Carnell Lake,75,4,69,1
Scott Radecic,75,14,50,1.5
Mark Robinson,75,7,65,2.5
Darryl Pollard,74,0,72,0
Dwayne Woodruff,74,2,66,0
Rod Woodson,74,7,62,0
James Hasty,73,12,56,0
Eugene Marve,73,10,61,0
Jerry Gray,72,2,69,0
John Grimsley,72,5,57,0
Ray Horton,72,8,60,1
Robert Massey,72,2,66,0
Donnell Thompson,72,18,48,7
Tyrone Braxton,71,2,60,0
Mike Harden,71,14,43,0
Karl Mecklenburg,71,6,59,7.5
Leonard Smith,71,7,57,0
Thomas Everett,70,8,57,0
Vince Newsome,70,9,59,0
Michael Ball,69,8,54,0
William White,69,6,60,1
Jarvis Williams,69,3,62,1
Cedric Figaro,68,6,46,0
Seth Joyner,68,1,63,5
Bubba McDowell,68,3,57,1
Mike Merriweather,68,16,46,3.5
Billy Ray Smith Jr.,68,15,46,2.5
Ray Bentley,67,9,50,0
Chet Brooks,67,2,61,1
Terry McDaniel,67,8,49,1
Gary Reasons,67,14,39,1
Harvey Armstrong,66,14,39,1
Jerry Ball,66,8,54,9
Ray Berry,66,12,43,3
Jeff Bryant,66,11,43,3.5
Shaun Gayle,66,17,44,0
Vencie Glenn,66,13,45,1
Steve McMichael,66,13,41,7.5
John Offerdahl,66,10,49,1.5
Michael Stewart,66,3,59,0
Lawrence Taylor,66,14,40,15
Erik Howard,65,11,35,5.5
Kevin Ross,65,4,59,0
Henry Thomas,65,6,45,9
Dave Waymer,65,5,55,0
Reggie White,65,4,58,11
Gene Atkins,64,5,55,0
Tim Harris,64,2,58,19.5
Roland James,64,4,59,0
Jim Jeffcoat,64,5,53,11.5
Keith Millard,64,11,48,18
Michael Dean Perry,64,10,43,7
Mike Prior,64,7,49,0
Greg Townsend,64,11,40,10.5
John Baylor,63,1,54,0
Jerry Holmes,63,4,59,0
Pepper Johnson,63,13,37,1
Joe Kelly,63,14,37,1
Kevin Murphy,63,7,54,6
Clyde Simmons,63,2,56,15.5
Lionel Washington,63,9,49,0
Martin Bayless,62,10,44,1
Todd Bowles,62,6,50,1
Carl Carter,62,5,53,0
Mike Gann,62,8,48,2
Tim Green,62,5,52,5
Harry Hamilton,62,2,54,0
Ron Rivera,62,10,47,2
Jerome Brown,61,3,56,10.5
Gill Byrd,61,6,50,0
Mark Harper,61,4,52,1
Jerry Robinson,61,11,36,0.5
Alvin Walton,61,6,48,0
Michael Brooks,60,6,46,1
Simon Fletcher,60,6,49,12
Alex Gordon,60,17,27,1
Vaughan Johnson,60,3,51,1
Tim Krumrie,60,9,36,3
Ricky Reynolds,60,0,54,0
Derrick Thomas,60,3,53,10
Andre Waters,60,2,54,1
Evan Cooper,59,6,50,0
Pat Swilling,59,6,48,16.5
Everson Walls,59,3,52,0
Tim Gordon,58,5,46,0
Burt Grossman,58,9,40,10
Vestee Jackson,58,2,48,0
Brian Sochia,58,2,51,5
Chris Doleman,57,3,48,21
Dave Duerson,57,9,42,0
Tony Woods,57,7,35,3
Mike Zordich,57,8,45,1
Vince Albritton,56,5,45,0
Izel Jenkins,56,2,54,0
Chris Martin,56,0,51,4
Lee Williams,56,5,44,14
Steve Brown,55,2,47,3
Charles Haley,55,11,42,10.5
Louis Oliver,55,3,49,0
Jon Hand,54,10,38,10
Terry Kinard,54,11,39,0
Jeff Lageman,54,11,33,4.5
Carl Lee,54,7,40,0
Greg Manusky,54,8,44,0
George Radachowsky,54,10,32,0
Al Smith,54,6,43,0
Neil Smith,54,4,47,6.5
Al Baker,53,15,30,7.5
Kevin Greene,53,2,50,16.5
Linden King,53,15,24,0
Albert Lewis,53,3,48,1
Cedric Mack,53,2,47,1
Ken Norton,53,4,40,2.5
Bill Romanowski,53,5,45,1
Carl Zander,53,10,34,1.5
Toi Cook,52,6,42,1
Bobby Humphery,52,6,44,0
Charles Mann,52,3,42,10
Winston Moss,52,2,49,5.5
John Washington,52,11,32,0
Aundray Bruce,51,7,37,6
Ravin Caldwell,51,6,35,3.5
Dino Hackett,51,2,46,0
Wes Hopkins,51,4,46,3.5
John Rade,51,12,35,0
Sam Seale,51,3,43,0
Fred Strickland,51,0,48,2
Terry Taylor,51,3,46,0
Alvin Wright,51,8,40,3
Jeff Donaldson,50,14,30,0
Robert Lyles,50,4,38,2
Wilber Marshall,50,8,41,4
Mel Owens,50,1,45,0
Liffort Hobley,49,2,45,1
Pierce Holt,49,3,40,10.5
Patrick Hunter,49,4,41,1
Paul Lankford,49,6,40,1
Frank Minnifield,49,9,37,0
Frank Warren,49,3,40,9.5
Brent Williams,49,6,40,8
Donnell Woolford,49,3,38,0
Cornelius Bennett,48,10,32,5.5
Jason Buck,48,11,31,6
Jeff Cross,48,6,40,10
Eugene Daniel,48,4,39,0
Rick Dennison,48,4,40,1
David Grayson,48,12,28,1
Audray McMillian,48,8,38,0
Ray Childress,47,12,32,8.5
Reuben Davis,47,5,42,3
Don Griffin,47,1,46,0
Rickey Jackson,47,8,35,7.5
Greg Kragen,47,4,40,2
Dan Saleaumua,47,2,45,2
Deron Cherry,46,6,36,1
Melvin Jenkins,46,4,37,0
Jerry Olsavsky,46,2,38,1
Mike Pitts,46,2,43,7
Eric Thomas,46,2,42,2
Gerald Williams,46,2,40,3
Lonnie Young,46,4,40,0
Willie Broughton,45,6,35,3
Vincent Brown,45,1,40,4
Travis Curtis,45,8,29,0
Donnie Elder,45,0,45,0
Dwayne Harper,45,4,38,0
Scott Mersereau,45,10,20,0.5
Najee Mustafaa,45,8,36,0
Mike Wise,45,15,20,3.5
Tim Goad,44,5,39,1
William Judson,44,2,40,0
Marc Munford,44,6,36,1
Bob Nelson,44,5,37,1
Anthony Newman,44,0,41,0
Bruce Plummer,44,6,34,1
Leon White,44,7,29,2
Robert Williams,44,2,37,0
Chris Goode,43,5,33,0
Victor Jones,43,6,31,0
Marty Lyons,43,11,21,1
Leonard Marshall,43,9,28,9.5
Deion Sanders,43,1,41,0
Ben Thomas,43,3,34,1
Eric Williams,43,2,38,5.5
Reggie Williams,43,11,24,3.5
Patrick Allen,42,0,42,0
Lewis Billups,42,1,39,0
Tracey Eaton,42,9,31,0
Maurice Hurst,42,2,39,0
Howie Long,42,12,22,5
Lorenzo Lynch,42,3,34,0
Freddie Joe Nunn,42,7,31,5
Perry Williams,42,6,35,0
Bobby Butler,41,2,36,0
Hugh Green,41,4,34,7.5
Mark Kelso,41,4,31,0
Al Noga,41,5,32,11.5
Rufus Porter,41,8,29,10.5
Dave Ahrens,40,2,36,1
Trace Armstrong,40,5,28,5
Walker Lee Ashley,40,1,39,0
Robert Banks,40,5,29,4
Ray Crockett,40,4,33,0
Jack Del Rio,40,4,33,0
Al Harris,40,2,36,2
E.J. Junior,40,6,31,1
Ronnie Lott,40,2,35,0
Larry McGrew,40,3,31,4.5
John Roper,40,5,30,4.5
Alphonso Carreker,39,7,29,5.5
Wymon Henderson,39,3,34,0
Bryan Hinkle,39,3,35,0
Johnny Meads,39,4,29,4
Robert Moore,39,4,26,0
Kevin Porter,39,1,38,0
Rod Saddler,39,4,28,3.5
Ken Stills,39,1,36,0
Anthony Blaylock,38,4,29,4
Shane Conlan,38,1,35,1
Brian Davis,38,1,33,0
Hanford Dixon,38,4,31,0
Carl Hairston,38,10,18,6.5
Elvis Patterson,38,1,36,0
Markus Paul,38,4,30,0
Lemuel Stinson,38,2,35,0
David Tate,38,4,31,0
Scott Case,37,1,32,1
Charles Dimry,37,1,35,1
David Galloway,37,5,27,5.5
Jacob Green,37,10,20,3
Zeph Lee,37,4,28,0
Ron Stallworth,37,8,20,2
Mike Wilcher,37,3,31,5
Jim Wilks,37,1,36,4
Scott Davis,36,4,23,5.5
Richard Dent,36,3,28,9
Kevin Fagan,36,3,29,7
LeRoy Irvin,36,1,33,0
Matt Millen,36,1,31,0
Kenneth Sims,36,2,29,3
Johnie Cooks,35,3,24,1
James Griffin,35,3,31,0.5
Dean Hamel,35,4,27,3.5
Joe Phillips,35,6,23,1
John Anderson,34,1,30,0
Chip Banks,34,6,23,1
Kevin Brooks,34,3,28,2
Eric Fairs,34,6,24,2.5
Ron Holmes,34,3,30,9
Lester Lyles,34,3,24,1
Martin Mayhew,34,0,32,0
Nate Odomes,34,1,29,1
J.C. Pearson,34,0,33,1
Leon Seals,34,4,26,4
Frank Stams,34,5,25,0
Art Still,34,4,23,0
Eric Allen,33,1,32,0
Carlton Bailey,33,6,22,0
Mark Dusbabek,33,8,19,0
Kirby Jackson,33,2,30,0
Brett Maxie,33,1,28,0
Jim Wahler,33,2,27,1
Van Waiters,33,7,20,0
Dave Brown,32,2,29,0
Dennis Byrd,32,7,20,7
Monte Coleman,32,3,28,4
Leonard Griffin,32,4,28,6.5
A.J. Johnson,32,0,30,0
William Perry,32,4,25,4
Dennis Smith,32,2,28,0
Jesse Solomon,32,2,26,0
Keith Taylor,32,2,27,0
Keith Willis,32,4,27,6.5
Blaise Winter,32,2,29,2
Raymond Clayborn,31,1,30,0
Burnell Dent,31,3,27,0
William Frizzell,31,2,29,1.5
Randy Shannon,31,4,25,0
Fred Smerlas,31,2,23,1
Paul Frase,30,5,14,2
William Fuller,30,4,25,6.5
Darryl Grant,30,3,24,3.5
Tim Johnson,30,1,27,4.5
Larry Kelm,30,3,26,0
Skip McClendon,30,4,25,1.5
Shawn Miller,30,2,27,1
Rodney Thomas,30,0,30,1
T.J. Turner,30,1,29,0
Sheldon White,30,4,22,0
Bill Bates,29,1,26,0
Mike Cofer,29,1,25,9
Marcus Cotton,29,6,20,9
Maurice Douglass,29,3,23,0
Kurt Gouveia,29,3,24,0
Ricky Hunley,29,8,12,0
M.L. Johnson,29,4,18,0
Milton Mack,29,0,28,1
Hardy Nickerson,29,5,24,1
Ron Pitts,29,1,27,0
Doug Reed,29,1,27,3
Scott Stephen,29,0,26,1
Clarence Vaughn,29,3,23,0
Robert Brown,28,1,27,3
George Greene,28,2,26,2
Delton Hall,28,0,27,0
Barney Bussey,27,2,23,2.5
Too Tall Jones,27,3,21,1
Jay Taylor,27,0,27,0
Jerrol Williams,27,5,21,3
Greg Clark,26,0,26,0
Danny Copeland,26,1,25,0
Cris Dishman,26,0,23,0
Brett Faryniarz,26,0,24,3
Kerry Glenn,26,4,20,0.5
George Jamison,26,0,24,2
Leander Knight,26,2,20,0
Rob McGovern,26,0,24,0
Tony Tolbert,26,1,24,2
Adrian White,26,2,19,0
Leo Barker,25,1,24,0
Roy Bennett,25,1,24,0
Jim Bowman,25,0,25,0
Greg Cox,25,1,22,1
Dennis Gibson,25,0,25,0
Rod McSwain,25,1,23,0
Jim Skow,25,3,17,4.5
Galand Thaxton,25,4,18,0
Jim Collins,24,6,12,0
Louis Cooper,24,1,22,1
Kip Corrington,24,0,23,0
Bobby Futrell,24,0,24,0
Larry Griffin,24,0,23,0
Sean Jones,24,5,15,6
Neal Olkewicz,24,0,23,0
Randy Robbins,24,2,21,0
Andre Townsend,24,3,20,2
Richard Brown,23,3,19,0
Darren Carrington,23,3,20,0
David Howard,23,3,18,0
Curt Jarvis,23,1,15,3
D.J. Johnson,23,0,23,0
Karl Wilson,23,3,16,1
John Booty,22,3,15,0
Michael Carter,22,1,21,0
Toby Caston,22,0,22,0
Dick Chapura,22,2,17,3
Scott Curtis,22,2,19,0
Mike Hammerstein,22,3,15,1.5
Cliff Hicks,22,0,20,0
Greg Jackson,22,2,15,0
Ilia Jarostchuk,22,1,20,0
James Jefferson,22,1,16,0
Richard Johnson,22,6,12,0
Mark Lee,22,0,21,0
Dexter Manley,22,3,17,9
Tracy Rocker,22,4,16,0
Broderick Thomas,22,1,21,2
Bruce Alexander,21,0,19,0
Jim Fahnhorst,21,0,21,0
Jumpy Geathers,21,5,15,1
Robert Goff,21,0,18,4
Johnnie Jackson,21,0,21,0
Van Jakes,21,0,21,0
Eddie Johnson,21,2,14,0
Pete Kugler,21,2,19,3
Quintus McDonald,21,1,14,2
Mike Piel,21,2,17,4
Larry Roberts,21,3,15,3.5
Jessie Small,21,2,17,0
Lloyd Burruss,20,0,20,0
Richard Byrd,20,4,13,0
Chuck Cecil,20,0,20,0
Ron Francis,20,0,19,0
Darrell Fullington,20,2,15,0
Darryl Henley,20,1,16,0
Robert Jackson,20,2,18,0
Gary Jeter,20,0,19,7
Bill Maas,20,1,18,0
Bill Pickel,20,4,13,3
Reyna Thompson,20,1,19,0
