Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Patriots,45.6,2507,55,48.7,71,2678,31,5,15,5,18,12,71,0,0
Lions,44.8,2641,59,49.1,67,2897,26,4,11,7,15,21,116,0,0
Seahawks,44.4,2709,61,49.6,67,3028,32,6,8,6,13,28,199,0,0
Football Team,44.3,3235,73,48,65,3504,23,0,9,3,25,36,209,0,0
Bills,44,1804,41,50.8,72,2082,18,8,4,7,6,16,138,0,0
Bengals,42.8,3040,71,47.2,72,3350,19,4,15,7,16,29,170,0,0
Jaguars,42.4,2755,65,46.9,67,3051,21,7,13,5,14,26,196,0,0
49ers,42.3,2790,66,46.9,60,3093,25,4,5,6,28,23,183,0,1
Ravens,42.3,2240,53,44.7,59,2368,22,8,5,1,20,19,108,0,0
Broncos,42.1,2734,65,46.8,69,3040,19,16,4,4,13,28,226,0,1
Saints,41.7,2588,62,43.1,58,2674,23,6,5,2,29,20,46,0,0
Texans,41.5,2283,55,46,67,2531,20,4,5,6,21,19,128,0,0
Cowboys,41.2,2058,50,45,58,2250,15,2,1,3,29,15,132,0,0
Eagles,41.1,3001,73,46.5,66,3395,27,6,5,6,13,43,274,0,1
Titans,40.9,2005,49,46,66,2256,22,7,5,4,13,20,171,0,1
Panthers,40.8,1838,45,46.3,67,2082,21,2,6,3,16,18,184,1,0
Colts,40.4,1939,48,46.2,60,2216,20,3,7,5,10,23,177,0,1
Chiefs,40.4,2100,52,45,67,2339,20,8,5,6,18,15,119,0,0
Buccaneers,40.2,2210,55,45.2,62,2486,19,9,6,2,15,23,236,1,0
Raiders,40.1,1766,44,44.1,63,1939,20,6,6,2,16,14,133,0,0
Dolphins,39.8,2703,68,44.7,63,3040,26,5,15,2,22,24,297,2,0
Rams,39.7,2702,68,45.6,63,3099,28,11,9,5,20,23,297,1,1
Cardinals,39.6,2299,58,44.8,61,2600,21,2,9,5,20,22,201,0,0
Steelers,39.6,3050,77,45.1,62,3470,29,7,6,5,27,32,320,0,0
Bears,39.5,2530,64,45.7,64,2924,28,2,10,5,22,25,294,0,0
Giants,39.4,2559,65,44.8,71,2911,28,2,14,6,18,25,232,0,1
Falcons,39.3,2199,56,42.5,57,2381,17,4,5,2,19,26,142,0,0
Browns,38.3,1955,51,44,59,2244,14,4,4,3,15,25,229,0,0
Vikings,38,2054,54,45.1,59,2435,11,1,6,3,11,33,321,0,2
Packers,37.8,1741,46,45.5,62,2092,15,9,7,3,10,17,291,2,1
Jets,37.2,3052,82,43.9,60,3598,19,9,10,5,20,38,446,0,0
Chargers,35.9,2045,57,46.8,63,2669,12,5,4,3,8,37,564,1,3
