Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,53.1,44.7,2369,54,74,2812,28,8,6,10,7,22,243,0,1
Matt Haack,51.7,41.7,125,3,56,155,0,1,0,0,0,2,30,0,0
Bryan Anger,51.4,44.9,1975,44,63,2262,17,2,3,2,13,24,247,0,0
Blake Gillikin,50.6,43.6,2222,51,77,2580,11,2,9,2,9,29,318,0,0
AJ Cole,50.4,45.1,3380,75,83,3783,34,15,3,6,20,31,283,0,0
Jake Camarda,50,41.8,3219,77,74,3854,26,11,9,9,9,38,455,0,0
Michael Dickson,50,44.1,2911,66,73,3303,25,3,9,8,12,34,232,0,0
Braden Mann,49.8,43.9,1933,44,63,2190,15,2,9,1,5,27,237,0,0
Corey Bojorquez,49.4,42.5,3694,87,73,4294,31,12,7,9,16,43,420,0,0
Ethan Evans,49.2,39.1,2466,64,72,3101,20,7,5,7,12,32,495,2,1
Thomas Morstead,48.8,41.8,4136,99,62,4831,36,8,7,8,28,48,535,1,0
Ryan Wright,48.7,41.9,2473,59,68,2873,16,7,2,7,16,27,260,0,0
Rigoberto Sanchez,48.2,43,2921,69,69,3281,21,7,10,0,13,38,360,0,1
Jordan Stout,47.8,39.8,2625,67,67,3158,28,8,4,5,17,32,433,1,1
Mitch Wishnowsky,47.7,42.7,2220,52,67,2480,26,4,11,2,13,22,220,0,0
Cameron Johnston,47.6,44,2902,66,74,3145,30,3,9,3,25,26,183,0,0
Logan Cooke,47.4,43.8,2670,61,65,2893,29,8,5,4,22,22,143,0,0
Tommy Townsend,47,41.8,2469,59,68,2776,20,4,10,5,20,20,207,0,0
Bradley Pinion,47,41.5,3110,75,66,3523,27,12,5,3,24,31,353,0,0
Bryce Baringer,46.9,40.8,3999,98,79,4598,38,14,8,8,24,44,439,0,0
Johnny Hekker,46.8,43,3528,82,69,3838,25,6,14,5,26,31,210,0,0
Jack Fox,46.4,41.7,2378,57,70,2646,26,3,8,5,20,21,168,0,0
J.K. Scott,46.3,42.3,3174,75,83,3475,30,4,8,4,31,28,221,0,0
Riley Dixon,46.3,42.3,3344,79,68,3659,27,7,8,6,27,31,195,0,0
Daniel Whelan,46.2,39.7,2264,57,68,2634,18,2,5,5,22,23,270,1,0
Trenton Gill,46.1,38,2547,67,76,3088,18,6,10,8,13,30,381,1,0
Tress Way,46,41.8,3050,75,66,3361,30,1,11,2,25,34,271,0,2
Jamie Gillan,46,42.3,4022,95,74,4372,35,7,9,4,36,39,270,0,0
Sam Martin,45.8,39.9,2037,51,70,2334,24,5,7,3,17,19,237,1,0
Jake Bailey,45.7,40.7,2157,53,66,2424,20,6,8,3,19,17,207,1,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Ty Zentner,44.9,40.4,1534,38,64,1705,10,5,4,4,16,9,91,0,0
Brad Robbins,44.3,40.3,3066,76,62,3369,20,8,8,5,26,29,203,0,0
Pressley Harvin III,43.8,39.2,3057,78,63,3419,30,10,11,6,26,25,242,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43,39.8,2981,75,62,3224,31,10,8,4,24,29,163,0,0
Nick Folk,40.5,39,78,2,41,81,0,0,0,0,1,1,3,0,0
Greg Joseph,14,-3,-3,1,14,14,0,0,0,0,0,1,17,0,0
