Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,109,7068,198,99,90.8,8,24.8,0,0,1,0
Justin Tucker,100,6385,413,80,80,17,24.3,1,0,0,0
Tyler Bass,95,5952,649,53,55.8,29,22.4,1,0,1,1
Matt Gay,92,5898,391,72,78.3,15,26.1,0,0,0,0
Jake Elliott,91,5846,491,73,80.2,17,28.9,1,0,0,0
Blake Grupe,91,5828,225,76,83.5,12,18.8,1,0,0,0
Jake Moody,90,5680,655,54,60,29,22.6,0,0,2,0
Jason Sanders,88,5680,416,75,85.2,13,32,0,0,0,1
Anders Carlson,86,5466,950,37,43,40,23.8,1,0,1,0
Brandon McManus,86,5421,356,65,75.6,14,25.4,2,0,0,1
Jason Myers,86,5428,488,55,64,22,22.2,1,0,1,0
Jack Fox,85,5428,508,57,67.1,24,21.2,1,0,0,0
Harrison Butker,84,5485,311,73,86.9,11,28.3,0,0,0,0
Jake Camarda,82,5124,491,52,63.4,26,18.9,1,0,0,0
Ethan Evans,82,5285,229,73,89,9,25.4,0,0,0,0
Evan McPherson,82,5162,221,63,76.8,13,17,2,0,0,0
Cameron Dicker,81,5168,213,68,84,11,19.4,1,0,0,0
Wil Lutz,81,5123,152,71,87.6,7,21.7,3,0,0,0
Greg Joseph,79,5084,400,61,77.2,16,25,1,0,1,0
Bradley Pinion,79,5128,261,66,83.5,11,23.7,0,0,1,0
Matt Prater,79,4843,133,66,83.5,6,22.2,5,1,0,0
Daniel Carlson,78,4977,637,48,61.5,28,22.8,1,0,0,0
Chris Boswell,76,4833,476,55,72.4,18,26.4,0,0,0,0
Dustin Hopkins,76,4828,431,50,65.8,20,21.6,0,0,0,1
Cairo Santos,76,4830,350,60,79,14,25,2,0,0,0
Joey Slye,72,4520,139,64,88.9,5,27.8,3,0,1,0
Greg Zuerlein,64,4150,97,58,90.6,5,19.4,0,0,0,0
Nick Folk,62,3868,621,32,51.6,27,23,2,0,0,0
Chad Ryland,60,3814,433,39,65,21,20.6,0,0,0,0
Ka'imi Fairbairn,58,3619,392,37,63.8,16,24.5,2,1,0,0
Eddy Pineiro,56,3525,434,36,64.3,17,25.5,2,0,1,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Matt Ammendola,22,1402,112,16,72.7,6,18.7,0,0,0,0
Randy Bullock,20,1268,153,13,65,6,25.5,0,0,1,0
Riley Patterson,17,1019,193,7,41.2,9,21.4,1,0,0,0
Mason Crosby,16,972,72,2,12.5,4,18,0,0,0,0
Trenton Gill,13,794,21,11,84.6,1,21,0,0,0,0
Jake Bailey,10,647,41,8,80,2,20.5,0,0,0,0
Ty Zentner,10,640,194,2,20,8,24.2,0,0,0,0
Lucas Havrisik,8,524,51,7,87.5,1,51,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Thomas Morstead,6,325,26,2,33.3,2,13,1,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Corey Bojorquez,5,291,57,0,0,3,19,0,0,0,0
Jordan Stout,4,253,46,0,0,3,15.3,0,0,1,0
Kamu Grugier-Hill,3,142,44,0,0,3,14.7,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Mike Badgley,1,10,0,0,0,0,0,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
D'Anthony Bell,1,42,9,0,0,1,9,0,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Jamie Gillan,1,51,18,0,0,1,18,0,0,0,0
Cameron Johnston,1,67,12,0,0,1,12,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Matthew Wright,1,65,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
