Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,92,5962,121,85,92.4,5,24.2,0,0,1,0
Justin Tucker,82,5281,287,69,84.2,12,23.9,0,0,0,0
Tyler Bass,80,5007,513,43,53.8,25,20.5,1,0,1,0
Matt Gay,78,4985,361,59,75.6,14,25.8,0,0,0,0
Jake Moody,76,4808,611,46,60.5,27,22.6,0,0,2,0
Jake Elliott,75,4818,417,60,80,14,29.8,1,0,0,0
Dustin Hopkins,74,4708,314,50,67.6,18,17.4,0,0,0,0
Jason Sanders,74,4800,314,64,86.5,10,31.4,0,0,0,1
Blake Grupe,72,4672,222,61,84.7,11,20.2,0,0,0,0
Brandon McManus,72,4576,339,54,75,13,26.1,1,0,0,1
Ethan Evans,71,4570,229,62,87.3,9,25.4,0,0,0,0
Jason Myers,71,4530,389,49,69,18,21.6,0,0,1,0
Cairo Santos,70,4452,263,57,81.4,11,23.9,2,0,0,0
Harrison Butker,69,4510,242,60,87,9,26.9,0,0,0,0
Jake Camarda,69,4378,305,49,71,17,17.9,0,0,0,0
Jack Fox,69,4383,418,45,65.2,20,20.9,1,0,0,0
Wil Lutz,69,4341,126,60,87,6,21,3,0,0,0
Evan McPherson,69,4347,202,53,76.8,11,18.4,2,0,0,0
Anders Carlson,68,4310,557,34,50,25,22.3,1,0,1,0
Greg Joseph,67,4301,351,51,76.1,14,25.1,1,0,1,0
Cameron Dicker,66,4253,173,56,84.8,9,19.2,0,0,0,0
Bradley Pinion,64,4157,207,53,82.8,9,23,0,0,1,0
Matt Prater,63,3863,107,52,82.5,5,21.4,4,1,0,0
Daniel Carlson,62,3993,514,39,62.9,23,22.4,0,0,0,0
Nick Folk,62,3868,621,32,51.6,27,23,2,0,0,0
Joey Slye,61,3809,0,58,95.1,0,0,3,0,1,0
Chris Boswell,59,3758,394,41,69.5,15,26.3,0,0,0,0
Eddy Pineiro,50,3127,371,32,64,15,24.7,2,0,1,0
Greg Zuerlein,49,3178,71,45,91.8,3,23.7,0,0,0,0
Chad Ryland,48,3072,323,34,70.8,14,23.1,0,0,0,0
Ka'imi Fairbairn,42,2704,339,25,59.5,14,24.2,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Matt Ammendola,22,1402,112,16,72.7,6,18.7,0,0,0,0
Randy Bullock,20,1268,153,13,65,6,25.5,0,0,1,0
Jake Bailey,10,647,41,8,80,2,20.5,0,0,0,0
Riley Patterson,7,376,55,3,42.9,3,18.3,1,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Thomas Morstead,5,275,11,2,40,1,11,1,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Corey Bojorquez,2,125,0,0,0,0,0,0,0,0,0
Kamu Grugier-Hill,2,95,22,0,0,2,11,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Jordan Stout,2,133,46,0,0,2,23,0,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Trenton Gill,1,21,0,0,0,0,0,0,0,0,0
Jamie Gillan,1,51,18,0,0,1,18,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
