Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Giants,115,39,9,3,58,23.4,545
Saints,123,42,10,5,48,20.8,551
Colts,132,50,15,9,69,24.5,627
Falcons,117,41,9,4,47,18.8,560
Rams,117,48,11,7,64,24.4,570
Eagles,115,49,21,9,33,20.6,552
Browns,104,27,5,3,34,17.7,432
Vikings,126,57,13,7,61,24.3,586
Ravens,135,47,16,5,43,20.7,579
Bears,117,57,10,5,43,19.6,559
Patriots,126,50,10,6,53,20.3,603
Panthers,95,33,6,4,61,25.6,475
Cardinals,112,49,8,3,77,27.7,583
Commanders,124,49,13,8,56,23.1,585
Cowboys,101,37,15,8,44,20.2,464
Lions,89,29,11,5,36,22,466
Bills,115,48,10,4,48,22.6,540
Chiefs,115,42,16,7,52,23.4,543
Texans,110,46,8,3,56,25.1,515
Chargers,102,35,18,11,46,23.8,540
Steelers,110,44,10,3,54,22.8,545
Buccaneers,110,53,7,4,45,23.1,516
Packers,116,45,14,9,62,24.8,524
Jaguars,111,38,22,10,40,22.7,526
Bengals,96,43,7,2,62,29.7,494
Jets,121,49,2,1,58,22.5,538
Raiders,116,50,14,7,72,26.2,580
Titans,108,43,8,5,48,21.2,504
Dolphins,114,42,16,7,68,27.8,573
Seahawks,117,53,15,5,57,24.7,557
Broncos,91,35,14,7,57,24.8,512
49ers,101,41,10,5,47,27.8,499
