Player,Comb,Asst,Solo,Sck
John Offerdahl,113,7,100,2
Joey Browner,110,20,76,0.5
Eugene Marve,107,15,73,2.5
Vince Newsome,105,6,85,0
Cliff Odom,101,15,68,1
Dino Hackett,98,20,61,1
Mark Jerue,97,11,71,0
Rickey Jackson,96,8,80,9
Scot Brantley,95,6,80,0
Vann McElroy,95,22,51,0
Jeffery Dale,92,9,71,0
Vernon Maxwell,92,6,80,2
Brian Noble,92,7,81,2
Fredd Young,92,14,59,6
Harry Carson,91,7,70,2
Kyle Clifton,91,24,49,0
Jeff Davis,91,2,83,0
Gary Plummer,89,12,63,2.5
Fred Marion,88,2,85,0
Neal Olkewicz,88,12,66,2
Carl Ekern,87,12,61,1
James Harrell,87,3,79,0.5
Demetrious Johnson,87,3,77,0
Kevin Ross,87,7,71,2
Billy Ray Smith Jr.,87,10,68,11
Carl Banks,86,11,64,6.5
Duane Bickett,86,12,66,5
Eugene Lockhart,86,7,67,5
Buddy Curry,85,17,54,0
Curtis Jordan,85,8,71,0
Stacey Toran,85,15,57,6
Greg Gaines,84,16,49,5
Bryan Hinkle,84,9,65,4.5
Reggie McKenzie,84,23,44,1
Eugene Robinson,84,8,58,0
Chip Banks,83,16,45,4.5
Niko Noga,83,10,68,2
Anthony Griggs,82,25,38,0
Chris Rockins,82,18,57,0
Deron Cherry,81,10,58,1
Eddie Johnson,81,23,41,0
Scott Studwell,81,17,49,1
Ricky Hunley,80,12,57,0.5
Sam Mills,79,8,65,0
Leonard Smith,79,1,75,5
Bob Golic,78,21,37,0
Lester Lyles,78,15,51,1
Mike Merriweather,78,16,54,6
Jerry Robinson,78,19,48,2
Andre Waters,78,10,56,2
Harry Hamilton,77,11,56,0
Roland James,77,4,70,1
Jackie Shipp,77,12,57,1
Darryl Talley,77,9,56,3
Bret Clark,76,6,65,1
Chris Washington,76,7,69,4
John Grimsley,75,3,61,1
Art Still,75,13,51,10.5
Bob Brudzinski,74,9,60,2
Dave Duerson,74,3,70,7
Karl Mecklenburg,74,7,63,9.5
Martin Bayless,73,5,62,1
Ray Ellis,73,16,45,1
David Little,73,9,59,0.5
John Rade,73,15,49,1
Rod Jones,72,1,66,0
Wilber Marshall,72,2,67,5.5
Randy Scott,72,3,69,1
Carlton Williamson,72,8,58,0
Leonard Coleman,71,10,59,0
Sean Jones,71,16,40,15.5
Jeff Rohrer,71,11,55,2
Thomas Benson,70,8,51,5
Rich Milot,70,7,51,2
Bill Pickel,70,11,35,11.5
Johnnie Poe,70,1,66,1
Lawrence Taylor,70,7,54,20.5
Randy White,70,6,59,6.5
Mike Singletary,69,2,64,2
Bob Crable,68,14,41,3.5
Carl Lee,68,5,58,0
Ray Childress,67,2,58,5
Matt Millen,67,23,26,1
Johnny Rembert,67,2,64,4
Reggie Wilkes,67,9,44,0
Dave Ahrens,66,5,51,2
Jeff Barnes,66,7,39,2
Bud Brown,66,10,52,0
David Galloway,66,2,60,4.5
Tony Lilly,66,12,49,2
Ronnie Lott,66,7,54,2
Gary Reasons,66,9,46,0
Mike Reichenbach,66,3,56,0
Frank Wattelet,66,8,55,0
Rick Bryan,65,11,43,7
Scott Case,65,3,55,0
Jeff Donaldson,65,11,49,1.5
John Dorsey,65,1,58,0
Gary Fencik,65,3,61,1
Nesby Glasgow,65,12,43,0
Robert Lyles,65,3,60,3
Ken Stills,65,7,56,0
Dave Waymer,65,2,57,0
Lonnie Young,65,8,53,1.5
Bruce Clark,64,6,53,6
Ken Coffey,64,10,46,0
Terry Hoage,64,7,52,0
Jesse Solomon,64,8,49,0
Bill Bates,63,7,47,2.5
Mark Brown,63,2,52,5
Steve Brown,63,3,58,1
Mike Cofer,63,4,56,7.5
Riki Ellison,63,3,50,0
Antonio Gibson,63,6,50,3
Jerry Gray,63,2,58,0
Tony Casillas,62,9,38,1
Michael Downs,62,7,47,1
Don Griffin,62,4,55,1
Jerry Holmes,62,7,46,0
Albert Lewis,62,5,51,1
Rod Martin,62,12,32,5
Dave Brown,61,8,50,0
Nolan Cromwell,61,15,40,0
Pete Koch,61,7,43,5.5
Leslie O'Neal,61,11,41,12.5
Mike Wilcher,61,7,46,5.5
Keith Butler,60,12,37,1
Steve Freeman,60,11,41,0
Lance Mehl,60,9,30,1
Mossy Cade,59,2,56,1
Tim Newton,59,7,46,5
Keena Turner,59,5,49,3
Ken Woodard,59,4,48,3
Robin Cole,58,3,48,0.5
Clay Matthews,58,11,31,1
Joel Williams,58,6,43,0
William Judson,57,4,52,0
Robert Moore,57,9,43,1
Reggie White,57,2,51,18
Bruce Scholtz,56,10,40,3
Gill Byrd,55,6,45,0
Tim Cofield,55,12,39,5
Louis Cooper,55,9,37,4.5
Evan Cooper,55,2,51,1
Hanford Dixon,55,5,45,0
Duane Galloway,55,1,54,0
Charles Haley,55,5,47,12
Donnell Thompson,55,9,41,4
Charles Baker,54,6,43,3.5
Ray Bentley,54,4,49,0
Eugene Daniel,54,3,46,0
James Haynes,54,1,48,2
William Perry,54,2,50,5
Terry Taylor,54,6,45,0
LeRoy Irvin,53,7,39,0
Too Tall Jones,53,6,40,5.5
Bruce McNorton,53,2,49,0
Bruce Smith,53,7,40,15
Alvin Toles,53,6,44,0
Garin Veris,53,3,49,11
Eric Williams,53,1,51,4
Greg Brown,52,4,47,9
Richard Byrd,52,9,37,3
Jon Hand,52,6,39,5
John Harris,52,4,45,0
Johnnie Johnson,52,3,44,0
Larry McGrew,52,2,47,1
Charles Romes,52,6,42,0
Garry Cobb,51,5,42,6
Ron Fellows,51,1,47,0
Darrell Green,51,5,42,0
Kenny Hill,51,8,41,1
Paul Lankford,51,5,40,0
Tim McKyer,51,3,45,0
Steve McMichael,51,4,45,8
Frank Minnifield,51,9,33,0
Devon Mitchell,51,3,46,0
Alvin Walton,51,4,42,1
Don Blackmon,50,2,46,7.5
Keith Browner,50,0,48,4
Lloyd Burruss,50,4,42,0
