Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Brandon Aubrey,18,18,100,0/0,8/8,6/6,1/1,3/3,0/0,58,0
Harrison Butker,18,18,100,0/0,3/3,10/10,2/2,2/2,1/1,60,0
Jake Elliott,18,20,90,0/0,5/5,5/6,3/3,4/5,1/1,61,0
Dustin Hopkins,18,20,90,0/0,3/3,1/1,7/9,7/7,0/0,58,0
Ka'imi Fairbairn,17,18,94.4,0/0,6/6,9/9,2/2,0/1,0/0,43,0
Blake Grupe,17,21,81,0/0,6/7,4/4,4/5,3/5,0/0,54,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Brandon McManus,17,19,89.5,0/0,1/1,5/5,7/8,4/5,0/0,56,1
Nick Folk,16,16,100,0/0,5/5,5/5,3/3,3/3,0/0,53,0
Younghoe Koo,16,17,94.1,0/0,5/5,5/5,5/6,1/1,0/0,51,0
Greg Zuerlein,16,17,94.1,0/0,4/4,7/7,4/4,1/2,0/0,52,0
Matt Gay,14,16,87.5,0/0,4/4,2/2,3/4,5/5,0/1,56,1
Jason Myers,14,18,77.8,0/0,3/3,7/8,3/4,1/3,0/0,55,0
Matt Prater,14,16,87.5,0/0,2/2,5/6,4/4,2/3,1/1,62,0
Wil Lutz,13,15,86.7,0/0,6/6,5/6,0/0,2/3,0/0,52,1
Justin Tucker,13,16,81.2,0/0,5/5,3/3,4/4,1/3,0/1,50,0
Chris Boswell,12,13,92.3,0/0,3/3,1/1,4/4,4/4,0/1,57,0
Chase McLaughlin,12,14,85.7,0/0,4/4,5/5,0/1,3/4,0/0,57,2
Jake Moody,12,15,80,0/0,5/5,3/3,2/4,2/3,0/0,57,0
Eddy Pineiro,12,14,85.7,0/0,2/2,3/3,4/5,3/4,0/0,56,0
Tyler Bass,11,14,78.6,0/0,1/1,6/6,1/2,3/5,0/0,54,0
Daniel Carlson,11,14,78.6,0/0,7/7,2/2,2/3,0/2,0/0,47,1
Cameron Dicker,11,12,91.7,0/0,3/3,3/3,2/2,3/4,0/0,55,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Evan McPherson,11,14,78.6,0/0,2/2,0/0,5/5,4/7,0/0,56,0
Riley Patterson,11,13,84.6,0/0,1/2,8/8,1/1,1/2,0/0,52,0
Cairo Santos,11,11,100,0/0,4/4,2/2,2/2,3/3,0/0,54,0
Greg Joseph,10,14,71.4,0/0,6/6,0/0,1/3,3/5,0/0,54,1
Joey Slye,10,14,71.4,0/0,1/2,4/4,2/4,2/3,1/1,61,1
Anders Carlson,9,10,90,0/0,2/2,5/5,0/1,2/2,0/0,52,0
Chad Ryland,9,13,69.2,0/0,2/2,2/2,4/6,1/3,0/0,51,0
Jason Sanders,7,9,77.8,0/0,2/2,1/1,4/5,0/1,0/0,45,1
Lucas Havrisik,2,2,100,0/0,0/0,1/1,1/1,0/0,0/0,47,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
