Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jake Camarda,52.5,42.9,1417,33,74,1732,15,4,4,4,4,17,235,0,0
Ryan Stonehouse,51.8,42.6,1322,31,74,1606,15,7,2,5,3,14,184,0,0
Michael Dickson,51.1,45.3,1087,24,73,1227,10,2,5,4,1,12,60,0,0
Bryan Anger,51,45.1,948,21,57,1071,7,0,2,1,6,12,103,0,0
Ryan Wright,50.3,43.1,1035,24,63,1207,4,3,2,4,4,11,92,0,0
Blake Gillikin,50,39,624,16,66,800,2,0,2,0,0,14,176,0,0
AJ Cole,49.8,47,1268,27,70,1345,15,4,2,1,11,9,57,0,0
Ethan Evans,49.1,42.1,1180,29,72,1374,10,4,1,2,6,15,154,0,1
Corey Bojorquez,48.9,43.1,1509,35,69,1713,12,7,2,2,8,16,164,0,0
Mitch Wishnowsky,48.7,44.6,1116,25,67,1218,14,2,5,1,6,11,82,0,0
Daniel Whelan,48.5,39.2,1136,29,68,1406,6,0,1,4,11,13,190,1,0
Jordan Stout,48.1,40.7,1424,36,67,1683,17,4,3,1,12,15,239,1,1
Bradley Pinion,48,43,1548,36,62,1727,11,6,2,1,11,16,159,0,0
Thomas Morstead,48,44,1760,40,58,1918,16,4,4,2,14,16,118,0,0
Johnny Hekker,47.9,44.2,1371,31,69,1486,11,1,5,1,11,13,95,0,0
Tress Way,47.8,42,1552,37,66,1769,13,0,5,1,11,20,197,0,0
Logan Cooke,47.7,44.2,1415,32,62,1525,20,5,4,3,11,9,50,0,0
Tommy Townsend,47.6,42.6,980,23,62,1096,9,1,6,1,7,8,96,0,0
Rigoberto Sanchez,47.3,40.9,1433,35,57,1657,9,3,6,0,5,21,224,0,0
Jamie Gillan,47,44,2024,46,64,2162,16,5,5,1,18,17,118,0,0
Sam Martin,46.6,39.9,838,21,70,978,9,3,2,2,5,9,100,1,0
Braden Mann,46.3,40.2,402,10,59,463,4,0,2,1,4,3,41,0,0
Bryce Baringer,45.8,40.6,1623,40,65,1831,20,8,2,2,11,17,168,0,0
Pressley Harvin III,45.7,40.4,1213,30,63,1372,10,6,5,2,6,11,119,0,0
Jake Bailey,45.6,41.8,836,20,63,912,5,4,2,2,7,5,36,0,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jack Fox,45.5,42.4,1145,27,62,1229,13,1,5,1,11,9,64,0,0
Trenton Gill,45.4,38,1101,29,58,1316,7,3,5,1,5,15,195,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Cameron Johnston,44.6,42.1,716,17,74,758,9,1,3,1,8,4,22,0,0
Brad Robbins,44.5,39.5,1383,35,62,1556,6,5,1,3,13,13,113,0,0
Riley Dixon,43.8,41,1229,30,61,1314,8,3,3,0,8,16,85,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
J.K. Scott,43,39,1092,28,65,1203,11,2,5,1,13,7,91,0,0
Lou Hedley,42.7,39.6,1546,39,62,1666,17,5,5,2,11,16,80,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
