Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Tyler Bass,46,2890,283,30,65.2,14,20.2,1,0,1,0
Jake Elliott,46,2976,223,38,82.6,8,27.9,0,0,0,0
Matt Gay,45,2891,188,35,77.8,8,23.5,0,0,0,0
Brandon Aubrey,44,2864,28,43,97.7,1,28,0,0,0,0
Brandon McManus,44,2828,168,35,79.6,5,33.6,0,0,0,1
Justin Tucker,43,2757,82,38,88.4,4,20.5,0,0,0,0
Blake Grupe,42,2741,84,38,90.5,4,21,0,0,0,0
Harrison Butker,41,2671,50,39,95.1,2,25,0,0,0,0
Jason Sanders,41,2673,243,34,82.9,7,34.7,0,0,0,1
Ethan Evans,40,2576,145,35,87.5,5,29,0,0,0,0
Greg Joseph,39,2482,253,27,69.2,10,25.3,1,0,1,0
Wil Lutz,39,2436,14,36,92.3,1,14,2,0,0,0
Cairo Santos,39,2436,106,32,82,5,21.2,2,0,0,0
Dustin Hopkins,38,2423,217,25,65.8,11,19.7,0,0,0,0
Jake Moody,38,2393,253,22,57.9,13,19.5,0,0,2,0
Jason Myers,38,2426,134,27,71,7,19.1,0,0,1,0
Cameron Dicker,37,2389,85,33,89.2,4,21.2,0,0,0,0
Jack Fox,37,2390,287,23,62.2,14,20.5,0,0,0,0
Matt Prater,37,2303,63,30,81.1,3,21,2,1,0,0
Ka'imi Fairbairn,35,2260,320,20,57.1,13,24.6,0,0,0,0
Bradley Pinion,35,2261,131,28,80,6,21.8,0,0,0,0
Joey Slye,35,2177,0,33,94.3,0,0,2,0,0,0
Nick Folk,34,2136,284,19,55.9,13,21.8,1,0,0,0
Daniel Carlson,32,2047,214,22,68.8,10,21.4,0,0,0,0
Jake Camarda,31,1980,173,21,67.7,9,19.2,0,0,0,0
Evan McPherson,31,1993,69,26,83.9,4,17.2,0,0,0,0
Chris Boswell,30,1924,95,26,86.7,4,23.8,0,0,0,0
Anders Carlson,30,1901,219,19,63.3,10,21.9,1,0,0,0
Chad Ryland,30,1919,167,22,73.3,8,20.9,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Eddy Pineiro,28,1708,223,17,60.7,9,24.8,2,0,0,0
Greg Zuerlein,26,1689,24,25,96.2,1,24,0,0,0,0
Jake Bailey,8,522,41,6,75,2,20.5,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Riley Patterson,6,326,55,2,33.3,3,18.3,1,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Lucas Havrisik,1,65,0,1,100,0,0,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
