Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Dick Gordon,71,1026,13,0,0,69,4,5.6,0,0,0
Marlin Briscoe,57,1036,8,0,0,48,0,0,0,0,0
Danny Abramowicz,55,906,5,0,0,48,0,0,0,0,0
Gene Washington,53,1100,12,0,0,79,0,0,0,0,0
Jack Snow,51,859,7,0,0,71,0,0,0,0,0
Lee Bouggess,50,401,2,0,0,34,0,0,0,0,0
Clifton McNeil,50,764,4,0,0,59,0,0,0,0,0
Carroll Dale,49,814,2,0,0,89,0,0,0,0,0
Ron Johnson,48,487,4,0,0,50,0,0,0,0,0
Gary Ballman,47,601,3,0,0,26,0,0,0,0,0
Al Denson,47,646,2,0,0,42,0,0,0,0,0
Eddie Hinton,47,733,5,0,0,40,0,0,0,0,0
Alvin Reed,47,604,2,0,0,34,0,0,0,0,0
Fred Biletnikoff,45,768,7,0,0,51,0,0,0,0,0
John Gilliam,45,952,5,0,0,79,0,0,0,0,0
Gary Garrison,44,1006,12,0,0,67,0,0,0,0,0
Roy Jefferson,44,749,7,0,0,55,0,0,0,0,0
Les Josephson,44,427,0,0,0,30,0,0,0,0,0
Jim Mitchell,44,650,6,0,0,51,0,0,0,0,0
Gene Washington,44,702,4,0,0,49,0,0,0,0,0
Jerry Smith,43,575,9,0,0,41,0,0,0,0,0
Warren Wells,43,935,11,0,0,60,0,0,0,0,0
Raymond Chester,42,556,7,0,0,43,0,0,0,0,0
Jim Kiick,42,497,0,0,0,47,0,0,0,0,0
Charley Taylor,42,593,8,0,0,41,0,0,0,0,0
Harold Jackson,41,613,5,0,0,79,0,0,0,0,0
Jerry LeVias,41,529,5,0,0,63,0,0,0,0,0
Tucker Frederickson,40,408,3,0,0,57,0,0,0,0,0
Charlie Sanders,40,544,6,0,0,34,0,0,0,0,0
Bo Scott,40,351,4,0,0,24,0,0,0,0,0
Bob Tucker,40,571,5,0,0,41,0,0,0,0,0
Paul Flatley,39,544,1,0,0,35,0,0,0,0,0
Haven Moses,39,726,2,0,0,45,0,0,0,0,0
Willie Frazier,38,497,6,0,0,51,0,0,0,0,0
Ron Sellers,38,550,4,0,0,48,0,0,0,0,0
Larry Brown,37,341,2,0,0,66,0,0,0,0,0
Milt Morin,37,611,1,0,0,36,0,0,0,0,0
Jackie Smith,37,687,4,0,0,59,0,0,0,0,0
Donny Anderson,36,414,0,0,0,34,0,0,0,0,0
Billy Truax,36,420,3,0,0,34,0,0,0,0,0
Jim Whalen,36,503,3,0,0,34,0,0,0,0,0
Lance Alworth,35,608,4,0,0,80,0,0,0,0,0
Doug Cunningham,35,209,0,0,0,29,0,0,0,0,0
Bill Enyart,35,235,1,0,0,37,0,0,0,0,0
Bob Hayes,34,889,10,0,0,89,0,0,0,0,0
Mike Richardson,34,381,1,0,0,67,0,0,0,0,0
