Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Tyler Bass,33,2071,215,22,66.7,10,21.5,1,0,1,0
Brandon Aubrey,32,2084,28,31,96.9,1,28,0,0,0,0
Jake Elliott,30,1952,91,27,90,3,30.3,0,0,0,0
Jack Fox,29,1874,285,16,55.2,13,21.9,0,0,0,0
Harrison Butker,27,1756,22,26,96.3,1,22,0,0,0,0
Ka'imi Fairbairn,27,1743,194,16,59.3,9,21.6,0,0,0,0
Matt Gay,27,1730,89,20,74.1,5,17.8,0,0,0,0
Wil Lutz,26,1591,0,24,92.3,0,0,2,0,0,0
Jake Moody,26,1632,117,17,65.4,7,16.7,0,0,2,0
Cairo Santos,26,1641,55,22,84.6,3,18.3,1,0,0,0
Blake Grupe,25,1635,66,22,88,3,22,0,0,0,0
Matt Prater,25,1632,39,23,92,2,19.5,0,0,0,0
Jason Sanders,25,1638,143,22,88,3,47.7,0,0,0,1
Anders Carlson,24,1508,192,14,58.3,9,21.3,1,0,0,0
Ethan Evans,24,1559,34,23,95.8,1,34,0,0,0,0
Nick Folk,24,1542,204,14,58.3,9,22.7,0,0,0,0
Brandon McManus,24,1536,132,18,75,4,33,0,0,0,1
Jason Myers,24,1544,64,19,79.2,3,21.3,0,0,0,0
Greg Joseph,23,1437,67,19,82.6,3,22.3,1,0,0,0
Justin Tucker,23,1494,19,22,95.6,1,19,0,0,0,0
Chris Boswell,22,1434,35,21,95.4,1,35,0,0,0,0
Cameron Dicker,22,1433,40,21,95.4,1,40,0,0,0,0
Joey Slye,22,1430,0,22,100,0,0,0,0,0,0
Evan McPherson,21,1343,32,18,85.7,2,16,0,0,0,0
Bradley Pinion,21,1374,55,18,85.7,2,27.5,0,0,0,0
Jake Camarda,20,1282,101,14,70,5,20.2,0,0,0,0
Eddy Pineiro,20,1242,179,12,60,7,25.6,1,0,0,0
Daniel Carlson,19,1250,111,15,79,4,27.8,0,0,0,0
Dustin Hopkins,19,1213,110,12,63.2,6,18.3,0,0,0,0
Graham Gano,18,1168,74,15,83.3,3,24.7,0,0,0,0
Greg Zuerlein,18,1170,0,18,100,0,0,0,0,0,0
Chad Ryland,15,952,84,11,73.3,4,21,0,0,0,0
Jake Bailey,7,457,41,5,71.4,2,20.5,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Thomas Morstead,4,264,11,2,50,1,11,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
