Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Blake Gillikin,54.8,37.8,151,4,62,219,0,0,0,0,0,4,68,0,0
Michael Dickson,53.5,48.8,634,13,73,695,5,1,3,2,1,6,21,0,0
Jake Camarda,53.2,43,774,18,74,958,9,2,2,2,3,9,144,0,0
Ryan Wright,51.8,44.7,715,16,61,829,3,2,2,2,1,9,74,0,0
Ryan Stonehouse,51.3,43.1,776,18,74,923,7,4,0,3,1,10,87,0,0
Bryan Anger,51.3,45.3,679,15,57,769,5,0,1,1,4,9,70,0,0
AJ Cole,51,48.5,873,18,70,918,10,2,2,1,7,6,25,0,0
Ethan Evans,49.8,42.1,673,16,72,797,6,2,0,0,5,9,124,0,0
Tommy Townsend,48.9,45.2,678,15,58,733,7,1,3,1,5,5,35,0,0
Jamie Gillan,48.4,44.5,934,21,62,1016,7,0,3,1,10,7,62,0,0
Logan Cooke,48.4,44.5,890,20,60,967,13,3,2,2,6,7,37,0,0
Bradley Pinion,47.8,44.4,1065,24,62,1148,8,4,1,1,9,9,63,0,0
Thomas Morstead,47.8,44.1,1102,25,58,1195,9,3,2,2,11,7,53,0,0
Johnny Hekker,47.6,43.6,1004,23,69,1094,9,1,5,1,7,9,70,0,0
Daniel Whelan,47.4,38.1,839,22,68,1044,4,0,1,3,9,9,145,1,0
Sam Martin,47.4,40.4,525,13,70,616,5,2,1,1,4,5,71,1,0
Tress Way,47.4,39.4,749,19,66,900,5,0,3,0,4,12,151,0,0
Jordan Stout,47.3,39.1,978,26,67,1183,11,3,3,1,9,9,185,1,1
Pressley Harvin III,47.2,40.6,772,19,63,897,8,3,4,2,2,8,85,0,0
Trenton Gill,47,38.7,735,19,58,894,5,2,3,1,3,10,139,0,0
Corey Bojorquez,47,41.9,963,23,67,1081,7,7,1,1,6,8,98,0,0
Mitch Wishnowsky,46.1,43,645,15,67,691,10,2,4,1,4,4,26,0,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jack Fox,45.4,41.8,753,18,62,817,9,0,3,0,6,9,64,0,0
Rigoberto Sanchez,45.3,38.4,846,22,54,996,7,3,3,0,3,13,150,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Riley Dixon,44,40.6,731,18,61,792,6,2,1,0,7,8,61,0,0
Bryce Baringer,43.9,38.9,1167,30,65,1318,16,4,1,1,11,13,131,0,0
Brad Robbins,43.9,39.4,1023,26,62,1142,5,4,0,2,10,10,79,0,0
Jake Bailey,43.7,42.2,422,10,55,437,1,2,0,0,5,3,15,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43.3,39.6,1109,28,55,1213,11,4,3,2,7,12,64,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
Braden Mann,41.6,38.8,194,5,48,208,3,0,0,0,4,1,14,0,0
J.K. Scott,40.7,38.7,619,16,62,651,5,1,3,1,8,3,12,0,0
Cameron Johnston,39,37.3,224,6,48,234,2,1,1,0,3,1,10,0,0
