Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,89,5777,93,84,94.4,3,31,0,0,1,0
Justin Tucker,76,4894,196,66,86.8,9,21.8,0,0,0,0
Tyler Bass,74,4616,470,39,52.7,23,20.4,1,0,1,0
Jake Elliott,71,4558,417,56,78.9,14,29.8,1,0,0,0
Matt Gay,71,4554,296,54,76.1,12,24.7,0,0,0,0
Brandon McManus,70,4446,339,52,74.3,13,26.1,1,0,0,1
Dustin Hopkins,69,4383,314,45,65.2,18,17.4,0,0,0,0
Jake Moody,68,4288,611,38,55.9,27,22.6,0,0,2,0
Blake Grupe,67,4347,222,56,83.6,11,20.2,0,0,0,0
Jason Sanders,67,4345,314,57,85.1,10,31.4,0,0,0,1
Jason Myers,66,4217,376,45,68.2,17,22.1,0,0,1,0
Cairo Santos,66,4193,248,54,81.8,10,24.8,2,0,0,0
Ethan Evans,65,4207,166,59,90.8,6,27.7,0,0,0,0
Wil Lutz,65,4136,100,58,89.2,5,20,2,0,0,0
Evan McPherson,64,4023,188,49,76.6,10,18.8,2,0,0,0
Harrison Butker,63,4115,158,57,90.5,6,26.3,0,0,0,0
Anders Carlson,63,4001,557,32,50.8,25,22.3,1,0,1,0
Jake Camarda,62,3942,277,44,71,15,18.5,0,0,0,0
Cameron Dicker,62,3991,148,53,85.5,8,18.5,0,0,0,0
Jack Fox,62,3935,383,40,64.5,18,21.3,1,0,0,0
Bradley Pinion,62,4035,207,52,83.9,9,23,0,0,0,0
Greg Joseph,61,3911,351,45,73.8,14,25.1,1,0,1,0
Nick Folk,58,3609,550,31,53.4,24,22.9,2,0,0,0
Joey Slye,57,3602,0,55,96.5,0,0,2,0,0,0
Chris Boswell,56,3563,394,38,67.9,15,26.3,0,0,0,0
Matt Prater,56,3485,89,47,83.9,4,22.2,3,1,0,0
Daniel Carlson,52,3350,398,34,65.4,18,22.1,0,0,0,0
Eddy Pineiro,49,3064,350,32,65.3,14,25,2,0,1,0
Greg Zuerlein,48,3113,71,44,91.7,3,23.7,0,0,0,0
Chad Ryland,44,2812,323,30,68.2,14,23.1,0,0,0,0
Ka'imi Fairbairn,37,2390,320,22,59.5,13,24.6,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Matt Ammendola,22,1402,112,16,72.7,6,18.7,0,0,0,0
Randy Bullock,19,1205,135,13,68.4,5,27,0,0,1,0
Jake Bailey,10,647,41,8,80,2,20.5,0,0,0,0
Riley Patterson,7,376,55,3,42.9,3,18.3,1,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Thomas Morstead,5,275,11,2,40,1,11,1,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Corey Bojorquez,2,125,0,0,0,0,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Jordan Stout,2,133,46,0,0,2,23,0,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Trenton Gill,1,21,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
