Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,53.1,44.7,2369,54,74,2812,28,8,6,10,7,22,243,0,1
AJ Cole,51.5,45.9,2478,54,83,2781,24,8,2,6,16,22,183,0,0
Bryan Anger,50.9,45,1440,32,63,1628,13,1,2,2,10,17,148,0,0
Corey Bojorquez,50.3,42.4,2886,68,73,3421,22,9,5,9,12,33,355,0,0
Blake Gillikin,50.1,42.4,1695,40,66,2003,7,2,6,1,5,26,288,0,0
Jake Camarda,50,42,2644,63,74,3151,23,9,6,7,9,31,367,0,0
Ethan Evans,49.8,40.4,2063,52,72,2538,16,5,4,6,11,25,355,1,1
Michael Dickson,49.4,43.8,2189,50,73,2472,20,3,8,6,7,26,163,0,0
Thomas Morstead,49.2,42.2,3208,76,62,3737,28,4,6,6,23,37,409,1,0
Braden Mann,48.9,43,1334,31,63,1516,11,1,6,1,5,18,162,0,0
Jordan Stout,48.1,40.4,2058,52,67,2451,23,5,3,4,14,25,313,1,1
Mitch Wishnowsky,47.7,42.9,1843,43,67,2052,21,3,9,2,12,17,169,0,0
Cameron Johnston,47.7,44.1,1985,45,74,2146,18,2,6,3,19,15,101,0,0
Ryan Wright,47.6,41.7,1919,46,63,2192,13,6,2,6,13,19,153,0,0
Bradley Pinion,47.6,41.6,2453,59,62,2809,22,9,4,2,18,26,316,0,0
Rigoberto Sanchez,47.6,42.2,2362,56,69,2666,18,6,9,0,10,31,304,0,0
Tommy Townsend,47.3,41.7,1835,44,68,2082,14,3,7,3,15,16,187,0,0
Bryce Baringer,47.1,41.3,2972,72,79,3393,31,12,6,7,16,31,281,0,0
Logan Cooke,47.1,43.2,2292,53,62,2497,27,8,4,4,19,18,125,0,0
Johnny Hekker,46.9,43.1,2671,62,69,2909,20,3,9,3,22,25,178,0,0
Tress Way,46.6,41.8,2381,57,66,2658,24,1,6,2,19,29,237,0,0
Jamie Gillan,46.4,43.2,3285,76,74,3526,28,6,8,4,26,32,161,0,0
Jack Fox,46.3,42.2,1729,41,62,1899,19,1,5,1,15,19,150,0,0
J.K. Scott,46.1,42.1,2399,57,83,2627,23,4,7,4,23,19,148,0,0
Daniel Whelan,46,38.9,1946,50,68,2299,17,1,4,5,20,20,253,1,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Trenton Gill,45.5,36.5,1641,45,62,2048,12,4,6,4,8,23,327,1,0
Jake Bailey,45.5,41.8,1630,39,66,1773,14,5,5,2,13,14,103,0,0
Riley Dixon,45.2,41.7,2375,57,68,2578,19,4,5,3,23,22,143,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Sam Martin,44.7,37.8,1438,38,70,1700,14,4,4,2,11,17,222,1,0
Pressley Harvin III,44.7,39.8,2470,62,63,2769,25,9,8,5,19,21,199,0,0
Ty Zentner,43.9,40.3,765,19,54,834,4,3,1,3,9,3,9,0,0
Brad Robbins,43.8,39.7,2343,59,62,2581,14,7,4,5,21,22,138,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43,39.7,2340,59,62,2535,24,6,6,4,20,23,115,0,0
Nick Folk,40.5,39,78,2,41,81,0,0,0,0,1,1,3,0,0
Greg Joseph,14,-3,-3,1,14,14,0,0,0,0,0,1,17,0,0
