Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dustin Hopkins,31,34,91.2,0/0,8/8,5/5,10/13,8/8,0/0,58,0
Brandon Aubrey,30,30,100,0/0,9/9,11/11,2/2,7/7,1/1,60,0
Greg Zuerlein,27,28,96.4,0/0,5/5,8/8,10/10,4/5,0/0,55,0
Nick Folk,26,27,96.3,0/0,9/9,8/8,5/5,4/5,0/0,53,0
Wil Lutz,26,28,92.9,0/0,9/9,11/12,3/3,3/4,0/0,52,1
Jason Myers,26,33,78.8,0/0,3/3,10/11,9/11,4/8,0/0,55,0
Cairo Santos,26,28,92.9,0/0,7/7,9/9,4/6,6/6,0/0,55,0
Younghoe Koo,25,28,89.3,0/0,8/8,7/7,7/8,3/5,0/0,54,0
Blake Grupe,24,31,77.4,0/0,7/9,5/5,7/9,5/8,0/0,55,0
Brandon McManus,24,28,85.7,0/0,2/2,7/7,10/12,5/7,0/0,56,1
Justin Tucker,24,29,82.8,0/0,6/6,8/8,9/10,1/4,0/1,50,1
Chris Boswell,23,25,92,0/0,6/6,5/5,7/8,5/5,0/1,57,0
Harrison Butker,23,23,100,0/0,4/4,13/13,3/3,2/2,1/1,60,0
Jake Elliott,23,25,92,0/0,6/6,6/7,4/4,6/7,1/1,61,0
Matt Gay,23,28,82.1,0/0,8/8,3/4,5/6,7/9,0/1,57,1
Chase McLaughlin,21,23,91.3,0/0,7/7,8/8,1/2,5/6,0/0,57,2
Evan McPherson,21,26,80.8,0/0,4/4,3/3,7/7,7/12,0/0,56,0
Eddy Pineiro,21,25,84,0/0,4/4,6/6,7/9,4/6,0/0,56,0
Tyler Bass,20,25,80,0/0,1/1,11/12,4/6,4/6,0/0,54,1
Anders Carlson,20,25,80,0/0,5/5,9/9,4/7,2/3,0/1,52,0
Daniel Carlson,20,24,83.3,0/0,8/8,4/5,7/8,1/3,0/0,54,1
Matt Prater,20,23,87,0/0,3/3,5/6,5/5,6/8,1/1,62,0
Cameron Dicker,19,20,95,0/0,5/5,7/7,3/3,4/5,0/0,55,0
Greg Joseph,19,25,76,1/1,6/6,7/7,2/5,3/6,0/0,54,1
Ka'imi Fairbairn,18,19,94.7,0/0,6/6,9/9,2/2,1/2,0/0,50,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Jake Moody,17,20,85,0/0,6/6,7/7,2/4,2/3,0/0,57,0
Joey Slye,17,22,77.3,0/0,2/3,6/6,6/8,2/4,1/1,61,1
Riley Patterson,15,17,88.2,0/0,2/3,10/10,2/2,1/2,0/0,52,0
Jason Sanders,14,18,77.8,0/0,3/3,3/3,6/8,2/4,0/0,54,2
Chad Ryland,12,18,66.7,0/0,3/3,3/5,5/7,1/3,0/0,51,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Lucas Havrisik,10,13,76.9,0/0,4/4,2/2,2/4,2/3,0/0,52,0
Matt Ammendola,6,9,66.7,0/0,2/2,3/3,1/2,0/2,0/0,45,0
Randy Bullock,4,5,80,0/0,0/0,2/2,2/3,0/0,0/0,42,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
