Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brandon Aubrey,72,4687,93,67,93.1,3,31,0,0,1,0
Tyler Bass,69,4330,470,39,56.5,23,20.4,1,0,1,0
Justin Tucker,69,4439,196,59,85.5,9,21.8,0,0,0,0
Jake Elliott,62,4010,327,51,82.3,11,29.7,0,0,0,0
Matt Gay,60,3868,256,47,78.3,10,25.6,0,0,0,0
Greg Joseph,59,3785,335,44,74.6,13,25.8,1,0,1,0
Brandon McManus,59,3792,269,45,76.3,10,26.9,0,0,0,1
Cairo Santos,59,3739,226,48,81.4,9,25.1,2,0,0,0
Dustin Hopkins,58,3687,272,38,65.5,15,18.1,0,0,0,0
Cameron Dicker,57,3672,146,49,86,7,20.9,0,0,0,0
Blake Grupe,57,3710,127,51,89.5,6,21.2,0,0,0,0
Wil Lutz,56,3541,33,52,92.9,2,16.5,2,0,0,0
Jake Moody,56,3528,492,31,55.4,22,22.4,0,0,2,0
Jason Myers,56,3586,319,38,67.9,14,22.8,0,0,1,0
Harrison Butker,54,3529,75,51,94.4,3,25,0,0,0,0
Jason Sanders,54,3503,291,45,83.3,9,32.3,0,0,0,1
Joey Slye,54,3412,0,52,96.3,0,0,2,0,0,0
Jake Camarda,52,3307,277,34,65.4,15,18.5,0,0,0,0
Jack Fox,52,3295,314,33,63.5,15,20.9,1,0,0,0
Bradley Pinion,52,3368,153,44,84.6,7,21.9,0,0,0,0
Anders Carlson,51,3252,504,26,51,22,22.9,1,0,1,0
Daniel Carlson,51,3278,367,34,66.7,17,21.6,0,0,0,0
Ethan Evans,51,3291,145,46,90.2,5,29,0,0,0,0
Matt Prater,51,3155,63,43,84.3,3,21,3,1,0,0
Evan McPherson,50,3115,120,39,78,7,17.1,2,0,0,0
Chris Boswell,49,3116,346,34,69.4,13,26.6,0,0,0,0
Nick Folk,47,2911,415,25,53.2,19,21.8,2,0,0,0
Eddy Pineiro,42,2615,322,26,61.9,13,24.8,2,0,1,0
Chad Ryland,39,2493,281,27,69.2,12,23.4,0,0,0,0
Greg Zuerlein,38,2463,71,34,89.5,3,23.7,0,0,0,0
Ka'imi Fairbairn,37,2390,320,22,59.5,13,24.6,0,0,0,0
Graham Gano,28,1819,134,23,82.1,5,26.8,0,0,0,0
Randy Bullock,15,944,110,10,66.7,4,27.5,0,0,1,0
Matt Ammendola,14,887,68,10,71.4,4,17,0,0,0,0
Jake Bailey,9,587,41,7,77.8,2,20.5,0,0,0,0
Riley Patterson,7,376,55,3,42.9,3,18.3,1,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Dare Ogunbowale,6,331,54,3,50,3,18,0,0,0,0
Thomas Morstead,5,275,11,2,40,1,11,1,0,0,0
Lucas Havrisik,3,199,51,2,66.7,1,51,0,0,0,0
Austin Seibert,3,176,0,2,66.7,1,0,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Brett Maher,2,56,16,0,0,1,16,1,0,0,0
Bryce Baringer,1,16,0,0,0,0,0,1,0,0,0
Corey Bojorquez,1,61,0,0,0,0,0,0,0,0,0
Riley Dixon,1,67,20,0,0,1,20,0,0,0,0
Trenton Gill,1,21,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,1,62,0,0,0,0,0,0,0,0,0
Jordan Stout,1,60,24,0,0,1,24,0,0,0,0
Tommy Townsend,1,80,0,1,100,0,0,0,0,0,0
Ryan Wright,1,47,5,0,0,1,5,0,0,0,0
