Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dustin Hopkins,28,31,90.3,0/0,7/7,5/5,9/12,7/7,0/0,58,0
Jason Myers,25,31,80.6,0/0,3/3,10/11,8/9,4/8,0/0,55,0
Blake Grupe,24,30,80,0/0,7/8,5/5,7/9,5/8,0/0,55,0
Wil Lutz,24,26,92.3,0/0,8/8,10/11,3/3,3/4,0/0,52,1
Brandon McManus,23,26,88.5,0/0,2/2,7/7,9/10,5/7,0/0,56,1
Cairo Santos,23,25,92,0/0,5/5,9/9,3/5,6/6,0/0,55,0
Brandon Aubrey,22,22,100,0/0,9/9,7/7,1/1,5/5,0/0,58,0
Nick Folk,22,23,95.6,0/0,6/6,8/8,4/4,4/5,0/0,53,0
Younghoe Koo,22,23,95.6,0/0,6/6,7/7,6/7,3/3,0/0,54,0
Greg Zuerlein,22,23,95.6,0/0,4/4,8/8,8/8,2/3,0/0,53,0
Chris Boswell,21,22,95.4,0/0,5/5,5/5,7/7,4/4,0/1,57,0
Justin Tucker,21,26,80.8,0/0,6/6,6/6,8/9,1/4,0/1,50,1
Harrison Butker,20,20,100,0/0,3/3,11/11,3/3,2/2,1/1,60,0
Daniel Carlson,20,24,83.3,0/0,8/8,4/5,7/8,1/3,0/0,54,1
Jake Elliott,19,21,90.5,0/0,5/5,5/6,3/3,5/6,1/1,61,0
Matt Gay,19,23,82.6,0/0,5/5,3/3,4/5,7/9,0/1,57,1
Chase McLaughlin,19,21,90.5,0/0,7/7,7/7,1/2,4/5,0/0,57,2
Matt Prater,19,22,86.4,0/0,3/3,5/6,5/5,5/7,1/1,62,0
Tyler Bass,18,23,78.3,0/0,1/1,9/10,4/6,4/6,0/0,54,1
Ka'imi Fairbairn,18,19,94.7,0/0,6/6,9/9,2/2,1/2,0/0,50,0
Greg Joseph,18,23,78.3,1/1,6/6,6/6,2/4,3/6,0/0,54,1
Eddy Pineiro,18,21,85.7,0/0,2/2,6/6,6/7,4/6,0/0,56,0
Cameron Dicker,17,18,94.4,0/0,5/5,5/5,3/3,4/5,0/0,55,0
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Evan McPherson,17,21,81,0/0,4/4,1/1,6/6,6/10,0/0,56,0
Jake Moody,17,20,85,0/0,6/6,7/7,2/4,2/3,0/0,57,0
Joey Slye,17,21,81,0/0,2/3,6/6,6/8,2/3,1/1,61,1
Anders Carlson,15,19,79,0/0,5/5,7/7,1/3,2/3,0/1,52,0
Riley Patterson,13,15,86.7,0/0,1/2,9/9,2/2,1/2,0/0,52,0
Chad Ryland,12,18,66.7,0/0,3/3,3/5,5/7,1/3,0/0,51,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Jason Sanders,11,14,78.6,0/0,2/2,2/2,5/6,2/4,0/0,54,1
Lucas Havrisik,5,7,71.4,0/0,2/2,1/1,1/2,1/2,0/0,52,0
Matt Ammendola,3,6,50,0/0,1/1,1/1,1/2,0/2,0/0,45,0
Randy Bullock,3,3,100,0/0,0/0,1/1,2/2,0/0,0/0,42,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
