Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,52.9,44.8,2193,49,74,2594,27,8,6,9,6,20,221,0,0
AJ Cole,51,46.4,2133,46,70,2348,22,8,2,4,15,17,135,0,0
Bryan Anger,51,45.5,1410,31,63,1580,13,1,2,2,10,16,130,0,0
Corey Bojorquez,50.4,42.8,2356,55,73,2773,17,9,4,7,9,26,277,0,0
Jake Camarda,50.1,42,2057,49,74,2457,20,9,5,6,5,23,280,0,0
Blake Gillikin,50,42.1,1474,35,66,1751,5,1,4,0,5,25,277,0,0
Thomas Morstead,49.4,42.3,2708,64,62,3160,22,4,4,5,20,31,352,1,0
Michael Dickson,49.1,43.8,1925,44,73,2161,17,2,8,5,6,23,136,0,0
Braden Mann,49.1,42.4,1146,27,63,1325,8,0,6,1,4,16,159,0,0
Ethan Evans,48.4,41.4,1658,41,72,1934,14,5,3,3,10,19,216,0,1
Logan Cooke,48.1,43.8,1798,41,62,1973,23,7,4,4,12,14,95,0,0
Jordan Stout,48.1,39.9,1876,48,67,2260,21,5,3,4,13,22,304,1,1
Tommy Townsend,47.8,42,1636,39,68,1865,13,3,6,3,14,13,169,0,0
Bryce Baringer,47.8,42.2,2361,56,79,2677,25,9,3,5,14,25,216,0,0
Bradley Pinion,47.7,41.5,1911,46,62,2196,16,8,2,2,14,20,245,0,0
Ryan Wright,47.6,41.4,1575,38,63,1809,9,5,2,6,10,15,114,0,0
Mitch Wishnowsky,47.5,42.5,1530,36,67,1711,19,3,8,1,9,15,161,0,0
Johnny Hekker,47.2,43.5,2262,52,69,2456,19,3,7,3,19,20,134,0,0
Rigoberto Sanchez,47.2,41.7,1960,47,69,2216,16,5,9,0,9,24,256,0,0
Tress Way,47,41.8,2174,52,66,2444,22,0,6,2,17,27,230,0,0
Daniel Whelan,46.8,38.9,1751,45,68,2104,14,0,2,5,19,19,253,1,0
Jamie Gillan,46.7,43.4,3128,72,74,3362,25,6,8,4,25,29,154,0,0
Cameron Johnston,46.2,43,1290,30,74,1387,14,1,4,1,13,11,77,0,0
Trenton Gill,45.7,36.4,1530,42,62,1919,11,4,6,4,7,21,309,1,0
Nolan Cooney,45.5,40.3,524,13,56,592,2,1,1,1,3,7,48,0,0
Jake Bailey,45.5,42.2,1309,31,66,1411,11,5,4,2,11,9,62,0,0
Riley Dixon,45.4,41,1803,44,68,1999,11,3,4,3,13,21,136,0,0
Brad Wing,45,38.9,428,11,52,495,3,1,0,2,4,4,27,0,0
Jack Fox,44.9,42.3,1354,32,62,1438,17,1,5,1,15,10,64,0,0
J.K. Scott,44.8,41.1,1810,44,65,1973,14,2,6,2,19,15,123,0,0
Pressley Harvin III,44.7,39.8,2068,52,63,2323,22,8,8,4,14,18,175,0,0
Sam Martin,44.5,38.3,1301,34,70,1514,13,3,4,2,11,14,173,1,0
Brad Robbins,44.5,40.1,2163,54,62,2401,12,7,1,5,21,20,138,0,0
Arryn Siposs,43.4,38.4,307,8,54,347,2,0,1,0,2,5,40,0,0
Lou Hedley,43.1,39.9,1994,50,62,2155,21,6,5,3,17,19,101,0,0
Ty Zentner,42.1,38.6,541,14,54,590,2,3,1,2,5,3,9,0,0
