Player,Comb,Asst,Solo,Sck
Lance Mehl,144,46,76,2.5
Jerry Blanton,126,34,68,0
Tom Cousineau,121,30,66,4
Eugene Marve,121,27,69,2
Jerry Robinson,118,6,106,1
Mike Singletary,112,8,101,3.5
Bob Crable,109,21,67,2
Mike Douglass,109,9,97,5.5
Scott Studwell,107,25,60,2
Gregg Bingham,106,33,56,0
Carl Ekern,106,9,87,0
Buddy Curry,105,14,70,4
Clay Matthews,101,16,70,6
Matt Blair,99,19,55,4.5
Chris Keating,97,8,67,0
Rod Martin,97,11,61,6
John Anderson,96,2,88,4.5
Randy Gradishar,96,9,78,2.5
Lawrence Taylor,96,13,68,9
Clayton Weishuhn,96,4,87,2
Jeff Davis,95,4,87,1.5
Ken Fantetti,95,2,89,1
Tom Hannon,94,13,69,0.5
Brian Kelley,94,22,56,1.5
Hugh Green,93,6,82,3.5
Lee Nelson,92,6,82,2
Bruce Scholtz,91,11,63,1.5
Deron Cherry,90,10,62,1.5
Linden King,90,15,66,8
Lucius Sanford,90,13,70,0
Mike Green,89,17,56,1
Jim Kovach,89,3,81,3
Ken Schroy,87,14,50,2
Woodrow Lowe,86,11,62,4.5
Jim Collins,85,5,73,1
William Graham,85,6,74,0
Ronnie Lott,85,6,65,1
Shelton Robinson,85,16,47,1.5
George Cumby,84,4,74,2
John Harris,84,19,48,0
Keith Bostic,83,17,44,3
Chip Banks,82,15,51,4
Todd Bell,82,4,75,3
Anthony Griggs,82,4,70,1
Fulton Kuykendall,82,7,64,1
John Turner,82,14,54,1
Robert Abraham,81,22,40,1
Rickey Jackson,81,11,68,12
Ervin Parker,80,11,48,4
Billy Ray Smith Jr.,79,10,54,3
Bob Baumhower,78,3,70,8
Scot Brantley,78,6,70,2
Rich Wingo,78,6,64,0
Bill Bates,77,7,60,4
Joe Klecko,76,12,48,6.5
David Logan,76,4,67,9.5
Marty Lyons,76,16,38,4
Anthony Dickerson,75,5,65,10.5
Kenny Easley,75,18,43,3
Barry Krauss,75,14,42,1
Dennis Winston,75,5,68,1
Bob Brudzinski,74,8,60,1
Keith Butler,74,9,48,0
Mark Gastineau,74,13,47,19
Art Still,74,28,34,4
Garry Cobb,73,7,64,1
Bob Golic,73,12,46,4.5
John Rade,73,11,53,1.5
Robert Brazile,71,21,37,2.5
Michael Downs,71,7,58,1.5
Vernon Maxwell,71,10,50,11
Vann McElroy,71,18,39,0
Everson Walls,71,3,65,0
Greg Bracelin,70,10,50,5.5
Bob Breunig,70,11,47,0
Hanford Dixon,70,9,53,1
Roland James,70,5,59,2
John Woodring,70,19,31,1
Steve Freeman,69,20,44,0
Johnnie Johnson,69,7,59,1
Doug Betters,68,6,60,16
Nolan Cromwell,68,8,53,0
Dennis Johnson,68,15,42,1
Kenny Johnson,68,3,63,0
Kenny Neil,68,19,34,5.5
Gary Spani,68,17,35,3
Mel Owens,67,1,58,4
Benny Perrin,67,9,52,1
Johnnie Poe,67,0,63,0
Avon Riley,67,11,43,0.5
Willie Teal,67,8,53,0
Joel Williams,67,5,62,2.5
Harry Carson,66,3,51,1
Raymond Clayborn,66,2,63,0
Gill Byrd,65,6,54,0
Glenn Cameron,65,8,49,2
A.J. Duhe,65,3,57,5.5
Jacob Green,65,13,43,16
Dino Mangiero,65,16,39,5
Johnny Rembert,65,4,54,2
Ben Williams,65,11,45,10
Mike Bell,64,13,37,10
Riki Ellison,64,13,42,0
Kerry Justin,64,13,43,0
Jack Lambert,64,8,52,4
Brad Van Pelt,64,17,37,3
Russell Gary,63,3,58,0
Eric Harris,63,4,55,0
Mark Haynes,63,6,51,0
William Judson,63,4,58,0
E.J. Junior,63,5,52,7.5
Randy White,63,10,46,12.5
Reggie Williams,63,10,47,7.5
Jeff Bryant,62,21,31,8
Mark Murphy,62,10,40,1
Andre Tippett,62,2,60,8.5
Jesse Baker,61,13,39,5.5
Alvin Hall,61,1,54,0
John Holt,61,2,59,1
Matt Millen,61,12,32,2
Steve Parker,61,17,34,1.5
Rick Sanford,61,5,54,0
Mike Davis,60,8,46,2
Steve Foley,60,3,51,0
Darrell Green,60,5,53,0
Ezra Johnson,60,5,53,14.5
Tom Pridemore,60,6,49,0
Bobby Watkins,60,1,57,0
Eric Wright,60,1,54,0
George Andrews,59,4,50,3
Lyle Blackwood,59,4,53,0
Byron Braggs,59,5,50,5.5
Ken Clarke,59,2,54,1
Dwight Hicks,59,6,45,0
Neal Olkewicz,59,8,41,2
Jimmy Williams,59,4,53,1
Nesby Glasgow,58,6,48,1
Gary Green,58,6,47,0
Willie Harper,58,9,39,3
Eddie Johnson,58,9,43,0
Frank Wattelet,58,4,52,0
Dave Waymer,58,2,51,0
Reggie Wilkes,58,6,51,0
Otis Wilson,58,6,48,2
Lyle Alzado,57,16,35,7
Steve Busick,57,6,45,2
Dennis Harrison,57,5,51,11.5
Dennis Smith,57,3,53,5
Ken Greene,56,5,47,0
Carter Hartwig,56,7,38,1
Curtis Jordan,56,7,40,0
Fred McNeill,56,9,29,0.5
Mark Murphy,56,1,55,0
Charles Romes,56,6,46,0
Keena Turner,56,13,37,3.5
Joey Browner,55,7,41,2
Johnnie Gray,55,4,49,0
Wes Hopkins,55,0,53,1
Tom Jackson,55,6,49,5.5
Bob Nelson,55,15,32,2
Jim Ryan,55,1,51,0
Andre Young,55,6,46,1
Bobby Butler,54,4,49,0
Doug English,54,5,46,13
Mike Harden,54,3,47,0
Ed Judie,54,4,46,1
Leo Wisniewski,54,7,38,5
Kurt Allerman,53,2,46,0
Glenn Blackwood,53,1,49,1
Dave Brown,53,5,42,0
Mike Hartenstine,53,2,48,12
Albert Lewis,53,3,46,0
Lee Roy Selmon,53,2,50,11
Ted Watts,53,4,42,0
Jim Wilks,53,5,46,8
John Dutton,52,7,44,4.5
Jack Reynolds,52,9,31,1
Fred Smerlas,52,6,37,6
Carlton Williamson,52,7,38,0
Julius Adams,51,5,43,8
Charles Bowser,51,6,42,6.5
Dextor Clinkscale,51,5,40,2
Tom Howard,51,3,26,1
Terry Kinard,51,4,41,1
Doug Martin,51,11,28,13
Earnest Rhone,51,5,41,3
Dennis Thurman,51,2,48,1
Herman Edwards,50,2,47,0
Bob Glazebrook,50,6,41,0
Robert Jackson,50,9,37,0
Don Smith,50,4,39,6
Charles Baker,49,8,36,0
Barney Chavous,49,5,40,4.5
Leslie Frazier,49,2,46,0
Bob Hamm,49,14,26,3
Charlie Johnson,49,16,24,1
Mark Lee,49,3,44,0
Johnny Lynn,49,6,38,0
Lionel Washington,49,5,41,0
Steve Brown,48,6,33,0
James Burroughs,48,5,40,0
Jeremiah Castille,48,4,42,0
Bruce McNorton,48,4,41,0
Mike Richardson,48,1,47,0
Wayne Smith,48,3,41,0
Mike Whitwell,48,11,30,1
Jack Youngblood,48,6,39,10.5
Al Baker,47,4,43,13
Bill Gay,47,3,42,13.5
Darryl Grant,47,8,32,2.5
Mike Hegman,47,7,32,1
Jerry Holmes,47,2,38,0
Jim LeClair,47,6,33,1
Howie Long,47,8,32,13
Darrol Ray,47,11,31,0
Willie Tullis,47,9,32,0
Danny Walters,47,4,37,0
Louis Wright,47,0,44,1
Don Blackmon,46,6,40,3.5
Greg Brown,46,3,41,8.5
Too Tall Jones,46,3,41,7
Mel Kaufman,46,9,35,1.5
Bobby Kemp,46,7,35,1
Ronnie Lippett,46,2,44,0
Beasley Reece,46,8,32,0
Reggie Doss,45,7,36,5
Neil Elshire,45,16,22,9.5
Lester Hayes,45,5,34,0
Charles Jackson,45,6,30,4
Lawrence Pillers,45,7,32,4
Roynell Young,45,0,44,0
Johnie Cooks,44,7,28,5
Vernon Dean,44,3,37,0
Dave Duerson,44,2,40,0
Keith Ferguson,44,8,31,5
Gary Johnson,44,11,28,3
Rich Milot,44,11,28,1.5
Jerome Sally,44,6,30,4.5
Dick Ambrose,43,9,25,0
Reggie Camp,43,14,22,4.5
Bill Currier,43,5,34,1
Tim Fox,43,9,25,0
Bob Harris,43,2,37,1
Brian Sochia,43,5,26,2.5
Larry Braziel,42,2,35,0
Clinton Burrell,42,4,29,0
LeRoy Irvin,42,1,36,1
Cedric Mack,42,0,41,0
